호선,역명,요일,비율
1,동대문,금,1.0615338128345906
1,동대문,목,1.0208503794341128
1,동대문,수,1.026640598568618
1,동대문,월,1.0052510450035614
1,동대문,일,0.8731509500939494
1,동대문,토,0.9893047050515652
1,동대문,화,1.0232685090136022
1,동묘앞,금,0.961748182324203
1,동묘앞,목,0.9022103028046172
1,동묘앞,수,0.9004452994052471
1,동묘앞,월,0.8442907749145082
1,동묘앞,일,1.2137810884219336
1,동묘앞,토,1.280488608948045
1,동묘앞,화,0.8970357431814462
1,서울역,금,1.190369557298157
1,서울역,목,1.0848111970172143
1,서울역,수,1.072388894831681
1,서울역,월,1.0554825225781712
1,서울역,일,0.6748796676551999
1,서울역,토,0.863308060708433
1,서울역,화,1.058760099911143
1,시청,금,1.1715874526470655
1,시청,목,1.17250828185869
1,시청,수,1.1878531850978022
1,시청,월,1.091405015845568
1,시청,일,0.4606975378233882
1,시청,토,0.7378490182137936
1,시청,화,1.1780995085136925
1,신설동,금,1.167066973684057
1,신설동,목,1.1227212865795633
1,신설동,수,1.1295142662433055
1,신설동,월,1.0973069721778512
1,신설동,일,0.5814117416649841
1,신설동,토,0.8002793046641454
1,신설동,화,1.1016994549860928
1,제기동,금,1.1093521602591876
1,제기동,목,1.083795724275215
1,제기동,수,1.0733553490533132
1,제기동,월,1.055395112426989
1,제기동,일,0.625030556259048
1,제기동,토,0.968909677531296
1,제기동,화,1.0841614201949512
1,종각,금,1.1886791199913866
1,종각,목,1.181818206126555
1,종각,수,1.195396631296537
1,종각,월,1.130267952971979
1,종각,일,0.442962886606955
1,종각,토,0.6923111623176849
1,종각,화,1.168564040688902
1,종로3가,금,1.134283596564119
1,종로3가,목,1.0763778059063107
1,종로3가,수,1.06896738407251
1,종로3가,월,1.0184292838689173
1,종로3가,일,0.6326977937544984
1,종로3가,토,1.0130551989294776
1,종로3가,화,1.0561889369041668
1,종로5가,금,1.148799000281289
1,종로5가,목,1.1113575678997318
1,종로5가,수,1.1026096501606693
1,종로5가,월,1.062271368975109
1,종로5가,일,0.5142995794221672
1,종로5가,토,0.9555063188607662
1,종로5가,화,1.1051565144002675
1,청량리(서울시립대입구),금,1.113035078886108
1,청량리(서울시립대입구),목,1.07042627906609
1,청량리(서울시립대입구),수,1.0579025403790117
1,청량리(서울시립대입구),월,1.0381602629435385
1,청량리(서울시립대입구),일,0.6770522355273784
1,청량리(서울시립대입구),토,0.9722810095276102
1,청량리(서울시립대입구),화,1.0711425936702632
2,강남,금,1.203101368058228
2,강남,목,1.142894288415567
2,강남,수,1.14221690221136
2,강남,월,1.113228360284515
2,강남,일,0.4493899805159456
2,강남,토,0.807528803356038
2,강남,화,1.1416402971583466
2,강변(동서울터미널),금,1.156738823755032
2,강변(동서울터미널),목,1.0474038469306244
2,강변(동서울터미널),수,1.0340820023568744
2,강변(동서울터미널),월,1.0277907985876376
2,강변(동서울터미널),일,0.7532357059969383
2,강변(동서울터미널),토,0.9589608619560877
2,강변(동서울터미널),화,1.021787960416806
2,건대입구,금,1.121010015629781
2,건대입구,목,1.0412675026767957
2,건대입구,수,1.0356780077745675
2,건대입구,월,0.9878465762776076
2,건대입구,일,0.7608544977545145
2,건대입구,토,1.0349514640020447
2,건대입구,화,1.0183919358846891
2,교대(법원.검찰청),금,1.2215611543067235
2,교대(법원.검찰청),목,1.212248414820991
2,교대(법원.검찰청),수,1.223581410088095
2,교대(법원.검찰청),월,1.1696346480036486
2,교대(법원.검찰청),일,0.3503276221113702
2,교대(법원.검찰청),토,0.6037525175752437
2,교대(법원.검찰청),화,1.2188942330939272
2,구로디지털단지,금,1.183528492056778
2,구로디지털단지,목,1.1763991906930813
2,구로디지털단지,수,1.1824618500500634
2,구로디지털단지,월,1.1489628221591188
2,구로디지털단지,일,0.4554978391283409
2,구로디지털단지,토,0.674671449912414
2,구로디지털단지,화,1.178478356000203
2,구의(광진구청),금,1.1650614317855434
2,구의(광진구청),목,1.140294352926218
2,구의(광진구청),수,1.147876000182209
2,구의(광진구청),월,1.1003987702152311
2,구의(광진구청),일,0.5244824515048985
2,구의(광진구청),토,0.7827107674569272
2,구의(광진구청),화,1.1391762259289728
2,낙성대(강감찬),금,1.1514352970248662
2,낙성대(강감찬),목,1.11070760207142
2,낙성대(강감찬),수,1.1169326768343024
2,낙성대(강감찬),월,1.0630716781922116
2,낙성대(강감찬),일,0.5970012529566684
2,낙성대(강감찬),토,0.8608842398389829
2,낙성대(강감찬),화,1.0999672530815483
2,당산,금,1.1653577437384697
2,당산,목,1.1472194697446476
2,당산,수,1.1572654824030453
2,당산,월,1.0958607945758732
2,당산,일,0.5109361013707614
2,당산,토,0.7791830885183642
2,당산,화,1.1441773196488385
2,대림(구로구청),금,1.1137499172089125
2,대림(구로구청),목,1.096559469667687
2,대림(구로구청),수,1.1089296171960106
2,대림(구로구청),월,1.0923030329438226
2,대림(구로구청),일,0.6647863615838387
2,대림(구로구청),토,0.8219379200474707
2,대림(구로구청),화,1.1017336813522576
2,도림천,금,1.1720716274831215
2,도림천,목,1.1770459535857585
2,도림천,수,1.185846236733671
2,도림천,월,1.1756288010025164
2,도림천,일,0.4119005885401457
2,도림천,토,0.6922867856217719
2,도림천,화,1.1852200070330154
2,동대문역사문화공원(DDP),금,1.1369920291718052
2,동대문역사문화공원(DDP),목,1.0766726525992671
2,동대문역사문화공원(DDP),수,1.0818487215512826
2,동대문역사문화공원(DDP),월,1.0092418463451671
