요일,count,합,비율,평균,평균으로 비율
일,18258,148086781.0,0.7316881045066643,8110.788750136926,0.5575666368610495
금,13921,234690675.0,1.159592868293488,16858.7511673012,1.1589350283436657
토,13911,163816392.0,0.8094071904338355,11776.032779814535,0.8095295284932456
목,13908,228398831.0,1.128505235898996,16422.118996261146,1.1289192630892653
화,13634,222735841.0,1.1005247342569204,16336.793384186592,1.1230536542036045
수,13360,220777425.0,1.090848315597543,16525.25636227545,1.1360093200584263
월,12548,198228126.0,0.9794335510125527,15797.587344596748,1.085986568950743
