STATN_NM,호선이름
월드컵경기장(성산),6호선
마포구청,6호선
망원,6호선
합정,6호선
상수,6호선
광흥창,6호선
대흥(서강대앞),6호선
공덕,6호선
효창공원앞,6호선
삼각지,6호선
녹사평,6호선
이태원,6호선
한강진,6호선
버티고개,6호선
약수,6호선
청구,6호선
신당,6호선
동묘앞,6호선
창신,6호선
보문,6호선
안암(고대병원앞),6호선
고려대,6호선
월곡(동덕여대),6호선
상월곡(한국과학기술연구원),6호선
돌곶이,6호선
석계,6호선
태릉입구,6호선
화랑대(서울여대입구),6호선
봉화산,6호선
신내,6호선
장암,7호선
도봉산,7호선
수락산,7호선
마들,7호선
노원,7호선
중계,7호선
하계,7호선
공릉(서울산업대입구),7호선
태릉입구,7호선
먹골,7호선
중화,7호선
상봉,7호선
면목,7호선
사가정,7호선
용마산,7호선
중곡,7호선
군자(능동),7호선
어린이대공원(세종대),7호선
건대입구,7호선
뚝섬유원지,7호선
청담,7호선
강남구청,7호선
학동,7호선
논현,7호선
반포,7호선
고속터미널,7호선
내방,7호선
총신대입구(이수),7호선
남성,7호선
숭실대입구(살피재),7호선
상도(중앙대앞),7호선
장승배기,7호선
신대방삼거리,7호선
보라매,7호선
신풍,7호선
대림,7호선
남구로,7호선
가산디지털단지,7호선
철산,7호선
광명사거리,7호선
천왕,7호선
온수,7호선
까치울,7호선
부천종합운동장,7호선
춘의,7호선
신중동,7호선
부천시청,7호선
상동,7호선
삼산체육관,7호선
굴포천,7호선
부평구청,7호선
산곡,7호선
석남,7호선
암사,8호선
천호(풍납토성),8호선
강동구청,8호선
몽촌토성(평화의문),8호선
잠실,8호선
석촌,8호선
송파,8호선
가락시장,8호선
문정,8호선
장지,8호선
복정,8호선
남위례,8호선
산성,8호선
"남한산성입구(성남법원,검찰청)",8호선
단대오거리,8호선
신흥,8호선
수진,8호선
모란,8호선
개화,9호선
김포공항,9호선
공항시장,9호선
신방화,9호선
마곡나루,9호선
양천향교,9호선
가양,9호선
증미,9호선
등촌,9호선
염창,9호선
신목동,9호선
선유도,9호선
당산,9호선
국회의사당,9호선
여의도,9호선
샛강,9호선
노량진,9호선
노들,9호선
흑석,9호선
동작,9호선
구반포,9호선
신반포,9호선
고속터미널,9호선
사평,9호선
신논현,9호선
언주,9호선
선정릉,9호선
삼성중앙,9호선
봉은사,9호선
종합운동장,9호선
삼전,9호선
석촌고분,9호선
석촌,9호선
송파나루,9호선
한성백제,9호선
올림픽공원,9호선
둔촌오륜,9호선
중앙보훈병원,9호선
용산,경의중앙선(1호선)
이촌,경의중앙선(1호선)
서빙고,경의중앙선(1호선)
한남,경의중앙선(1호선)
옥수,경의중앙선(1호선)
응봉,경의중앙선(1호선)
왕십리,경의중앙선(1호선)
청량리,경의중앙선(1호선)
회기,경의중앙선(1호선)
중랑,경의중앙선(1호선)
상봉,경의중앙선(1호선)
망우,경의중앙선(1호선)
양원,경의중앙선(1호선)
구리,경의중앙선(1호선)
도농,경의중앙선(1호선)
양정,경의중앙선(1호선)
덕소,경의중앙선(1호선)
도심,경의중앙선(1호선)
팔당,경의중앙선(1호선)
운길산,경의중앙선(1호선)
양수,경의중앙선(1호선)
