일자,기온(°C),풍속(km/h),체감온도(°C)
2022-01-01,-10.1,10.1,-15.4
2022-01-02,-4.5,10.4,-8.8
2022-01-03,-8,9.7,-12.8
2022-01-04,-4.4,13.3,-9.5
2022-01-05,-7.7,9.7,-12.4
2022-01-06,-5.8,10.1,-10.3
2022-01-07,-5.7,6.5,-8.8
2022-01-08,-5,9.4,-9.1
2022-01-09,-0.7,9,-3.9
2022-01-10,-3.4,9.4,-7.2
2022-01-11,-8.4,20.2,-15.9
2022-01-12,-11,10.4,-16.6
2022-01-13,-7.2,17.3,-13.8
2022-01-14,-9.7,9.7,-14.8
2022-01-15,-5.3,9,-9.3
2022-01-16,-7,15.1,-13.1
2022-01-17,-8.5,7.9,-12.7
2022-01-18,-9.1,11.9,-14.8
2022-01-19,-7.6,10.8,-12.7
2022-01-20,-9.8,10.8,-15.3
2022-01-21,-8.4,9.7,-13.2
2022-01-22,-5,9.4,-9.1
2022-01-23,-0.6,7.2,-3.2
2022-01-24,1.8,17.3,-2.6
2022-01-25,2.1,12.2,-1.3
2022-01-26,-1.2,12.6,-5.4
2022-01-27,-4.5,7.6,-7.9
2022-01-28,-5.6,10.4,-10.1
2022-01-29,-6.6,9.7,-11.1
2022-01-30,-7.5,6.8,-11
2022-02-01,-2.6,11.2,-6.7
2022-02-02,-4.7,15.5,-10.3
2022-02-03,-6.8,7.6,-10.6
2022-02-04,-8.1,14,-14.2
2022-02-05,-9,14.4,-15.4
2022-02-06,-7.8,9,-12.3
2022-02-07,-6.2,7.2,-9.7
2022-02-08,-4.1,7.6,-7.4
2022-02-09,-4.2,9,-8
2022-02-10,-2.9,7.2,-5.9
2022-02-11,-2.6,7.6,-5.7
2022-02-12,-0.1,7.2,-2.6
2022-02-13,1.7,8.6,-0.9
2022-02-14,-1.2,20.5,-6.8
2022-02-15,-7.7,15.8,-14.1
2022-02-16,-8.9,16.6,-15.8
2022-02-17,-10,15.1,-16.8
2022-02-18,-7.8,11.9,-13.2
2022-02-19,-5.3,22,-12.3
2022-02-20,-8.4,18.4,-15.5
2022-02-21,-8.1,7.6,-12.1
2022-02-22,-7.2,14,-13.1
2022-02-23,-9.7,8.3,-14.3
2022-02-24,-8,9,-12.5
2022-02-25,-3.6,9.4,-7.4
2022-02-26,1.3,12.6,-2.4
2022-02-27,-0.8,11.2,-4.6
2022-03-01,0.6,10.8,-2.8
2022-03-02,-2.3,6.8,-5
2022-03-03,1.1,7.6,-1.3
2022-03-04,0.7,10.1,-2.5
2022-03-05,-0.2,19.8,-5.5
2022-03-06,-2.7,8.6,-6.1
2022-03-07,-2.6,9.7,-6.3
2022-03-08,2.2,8.3,-0.2
2022-03-09,1.8,10.1,-1.2
2022-03-10,4.4,9,2.2
2022-03-11,5.1,7.6,3.4
2022-03-12,6.5,11.9,4.1
2022-03-14,4.9,11.9,2.2
2022-03-15,2.9,10.1,0.1
2022-03-16,4,8.6,1.8
2022-03-17,7.8,18.7,4.7
2022-03-18,5.5,16.6,2.1
2022-03-19,0.9,17.3,-3.7
2022-03-20,2.5,9.7,-0.3
2022-03-21,0.4,9.4,-2.7
2022-03-22,1.1,6.8,-1.1
2022-03-23,5.1,9.4,2.9
2022-03-24,5.1,10.1,2.8
2022-03-25,6.3,8.6,4.5
2022-03-26,9.5,11.9,7.7
2022-03-27,5.1,9.7,2.8
2022-03-28,1.5,7.2,-0.7
2022-03-29,3.5,9,1.1
2022-03-30,6.1,9,4.2
2022-04-01,4.5,9,2.3
2022-04-02,4.1,8.6,1.9
2022-04-03,3.9,5.8,2.5
2022-04-04,5.7,9.4,3.6
2022-04-05,5.1,5.8,3.9
2022-04-06,8,7.2,6.8
2022-04-07,8.3,13,6.1
2022-04-08,5.2,10.4,2.8
2022-04-15,7.7,10.1,5.9
2022-04-16,7.2,7.9,5.7
2022-04-17,7.3,5,6.7
2022-04-19,8.9,7.2,7.9
2022-04-20,9.9,5,9.6
