노선번호,노선명
4435,4435번(개포동차고지~서초역)
452,452번(송파차고지~중대병원)
461,461번(장지공영차고지~여의도)
463,463(염곡동~국회의사당)
470,470번(상암차고지~안골마을)
472,472번(개포동~신촌)
500,500번(석수역~을지로입구)
501,501번(서울대~종로2가)
5012,5012번(가산동~용산역)
502,502(월암공영차고지~한국은행신세계)
503,503번(광명공영차고지~서울역)
504,504번(광명공영차고지~남대문)
505,505번(노온사동~서울역)
506,506번(신림동~종로1가)
507,507번(석수역~동대문문화공원)
540,540번(군포공영차고지~강남성모병원)
541,541번(군포공영차고지~강남역)
5413,5413번(시흥~고속터미널)
542,542번(군포버스공영차고지~신사역)
5511,5511번(신림2동차고지~중앙대학교)
5513,5513번(서울대~벽산블루밍아파트)
5515,5515번(신동아아파트~청림동현대아파트)
5516,5516번(신림2동차고지~노량진)
5517,5517번(시흥2동벽산아파트~중앙대)
5519,5519번(용천사~우방아파트)
5522A,"5522번(A,난곡방향,난곡~난곡)"
5522B,"5522번(B,호암방향,난곡~난곡)"
5523,5523번(보성운수기종점~서울대입구역)
5524,5524번(난곡차고지~중앙대학)
5525,5525번(시흥동~보라매공원)
5528,5528번(가산동~사당역)
5530,5530번(군포공영차고지~사당역)
5531,5531번(군포공영차고지~노량진)
5535,5535번(하안동~노량진)
5536,5536번(하안동~중앙대)
5537,5537번(시흥동~가산디지털단지역)
5611,5611번(가산디지털단지~우성아파트)
5615,5615번(난곡~여의도)
5616,5616번(가산동~등촌동)
5617,5617번(시흥~구로디지털단지역)
5618,5618번(구로동~구로동)
5619,5619번(시흥동~신도림역)
5620,5620번(시흥동~선유도역)
5621,5621번(삼익아파트~구로공단역)
5623,5623번(군포 공영차고지~여의도)
5625,5625번(안양~영등포역(영등포시장))
5626,5626번(안양~온수동)
5627,5627번(노온사동~구로디지털단지역)
5630,5630번(광명공영차고지~목동역)
5633,5633번(노온사동~순복음교회)
5634,5634번(광명공영차고지~여의도)
571,571번(가산동~기자촌)
5712,5712번(가산동~홍대입구역)
5713,5713번(안양비산동차고지~신촌기차역)
5714,5714번(광명공영차고지~이대입구)
600,600번(온수동~광화문)
601,601번(개화동~종로4가)
602,602번(양천공용차고지~시청앞)
603,603번(신월동~시청)
604,604번(신월동~중구청)
605,605번(강서공영차고지~후암동)
606,606번(부천상동~종로1가)
6211,6211번(신월동~상왕십리)
640,640번(신월동~강남역)
641,641번(문래동~양재동)
6411,6411번(신정동~선릉역)
643,643번(양천차고지~강남역)
650,650번(외발산동~서울대입구)
651,651번(방화동~관악구청)
6511,6511번(신정동~서울대)
6512,6512번(구로동~서울대)
6514,6514번(양천공영차고지~서울대)
6515,6515번(양천차고지~삼막사거리)
6516,6516번(양천차고지~박미고개)
652,652번(신월동~금천우체국)
653,653(외발산동~가산디지털단지역)
654,654번(방화동~노들역)
660,660번(온수동~가양역)
661,"661번(부천상동~영등포역,신세계백화점)"
6613,6613(양천공영차고지~대림역)
6614,6614(양천공영차고지~부천옥길지구)
6615,6615번(양천공영차고지~천왕역)
6616,6616(철산동~온수동)
6617,6617번(양천차고지~목동우성아파트)
662,662번(외발산동~여의나루역)
6620,6620번(양천공용차고지~당산역)
6623,6623번(양천공영차고지~여의도)
6624,6624번(신월동~이대목동병원)
6625,6625번(문래동~화곡동)
6627,6627번(양천공영차고지~월촌중학교)
6628,6628번(외발산동~여의도)
6629,6629번(방화동~영등포)
6630,6630번(외발산동~영등포시장)
6631,6631번(강서공영차고지~영등포역)
6632,6632번(강서공영차고지~당산역)
6635,6635번(광명공영차고지~구로디지탈단지역)
6637,6637번(광명 노온사동~목동)
6638,6638번(철산동~오목교)
6640A,6640A번(양천차고지~양천차고지)
6640B,6640B번(양천차고지~양천차고지)
6642,6642(가양9단지~강서공영차고지)
6645,6645(가양9단지~강서공영차고지)
6647,6647(개화역환승센터~마곡나루역)
6648,6648(방화동~양천구청)
6649,6649번(신도림역~오목교역)
6654,6654번(신풍역~여의도역)
6657,6657번(강서한강자이아파트~양천공영차고지)
6712,6712번(방화동~대흥사거리)
6713,6713번(철산동~홍대입구역)
6714,6714번(양천공영차고지~이대부고)
6715,6715번(신월동~상암동)
6716,6716번(양천공영차고지~이대입구)
672,672번(방화동~이대후문)
673,673번(상동기점~이대부고)
674,674번(신월동기점~연세대)
700,700번(대화동~서울역)
701,701번(진관차고지~종로2가)
7011,7011번(은평차고지~중구청)
7013A,7013A(은평차고지~남대문시장)
7013B,7013B(은평차고지~남대문시장)
7016,7016번(은평차고지~상명대)
7017,7017번(은평공영차고지~롯데백화점)
7018,7018번(북가좌동~광교)
7019,7019번(은평공영차고지~시청(서소문))
7021,7021번(은평공영차고지~롯데백화점)
7022,7022번(구산동~서울역)
7024,7024번(봉원사~서울역)
7025,7025번(은평차고지~종로)
702A,"702번(A,서오릉방향,서오릉~종로1가)"
702B,"702번(B,용두초교방향,서오릉~종로1가)"
703,703번(신성교통차고지~서울역)
704,704번(북한산성~서울역)
705,705번(진관공영차고지~롯데백화점)
708,708번(진관차고지~서울역)
710,710번(상암차고지~수유역)
720,720번(기자촌~답십리)
721,721번(북가좌동~건대입구역)
7211,7211번(기자촌~신설동)
7212,7212번(은평차고지~극동그린아파트앞)
740,740번(덕은동~삼성역)
741,741번(진관차고지~헌인릉입구)
742,742번(구산동~상도동)
750A,"750번(A,신촌,수색교~서울대)"
750B,750B번(은평차고지~서울대)
752,752번(구산동~노량진)
753,753번(구산동~상도동)
760,760번(대화동~영등포소방서.타임스퀘어)
761,761번(진관차고지~영등포역)
7611,7611번(은평차고지~여의도)
7612,7612번(홍은동~영등포)
7613,7613번(구산동~여의도)
771,771(대화동~디지털미디어시티역)
7711,7711번(덕은동~홍대입구)
7713,7713번(홍연2교~홍연2교)
7715,7715번(은평차고지~연신내역)
7719,7719번(북가좌동~녹번역)
7720,7720번(구산동~신촌)
7722,7722번(진관공영차고지~녹번역)
7723,7723번(진관공영차고지~구파발역)
7726,7726번(덕은동~모래내삼거리)
7727,7727번(설문동~신촌)
7728,7728번(대화동~신촌)
773,773번(교하운정~불광역)
7730,7730번(은평공영차고지~이북오도청)
7734,7734번(진관공영차고지~홍대입구역)
7737,7737번(수색은평공영차고지~파크빌아파트)
7738,7738번(은평공영차고지~홍제역)
7739,7739번(은평공영차고지~홍대입구역)
774,774번(구파발역~파주읍)
8001,8001번(남산예장버스환승주차장~남산예장버스환승주차장)
