버스정류소명,버스정류소ID
성북동주민센터.동구마케팅고,8235
삼선교.성북문화원,8236
삼선교.성북문화원,8237
서울다원학교,8238
신종월교,8240
남대문중학교,8243
남대문중학교,8244
길음시장,8245
길음시장,8246
길음역,8247
길음역,8248
미아사거리,8249
서경로꿈마루도서관앞,8250
길원초등학교입구,8251
길원초등학교입구,8252
열매교회,8253
열매교회,8254
정릉동아.길음뉴타운데시앙아파트,8255
길음뉴타운데시앙.정릉동아아파트,8256
숭덕초교,8257
성북생태체험관,8258
정릉초교,8259
정릉동풍림상가앞,8260
정릉동풍림상가앞,8261
정릉동풍림아파트,8262
정릉입구,8263
정릉입구,8264
아리랑고개.아리랑시네미디어센터,8265
아리랑고개.아리랑시네미디어센터,8266
돈암2동주민센터입구.흥천사,8267
돈암2동주민센터입구.흥천사,8268
성신여대입구,8269
성신여대입구,8270
한국과학기술연구원입구,8271
대농빌라앞,8272
월곡샹그레빌아파트,8273
월곡샹그레빌아파트,8274
장위동고개,8275
장위동고개,8276
장위1동주민센터,8277
장위1동주민센터,8278
장위1동파출소,8279
장위1동파출소,8280
청소년문화누림센터,8281
청소년문화누림센터,8282
월곡1동주민센터,8283
월곡1동주민센터,8284
밤나무골시장,8285
월곡삼성래미안아파트,8286
월곡동두산아파트,8287
월곡동두산아파트,8288
생명의전화,8289
생명의전화,8290
장곡초교,8293
장곡초교,8294
보문역,8295
보문역,8296
안암동주민센터,8297
안암동주민센터,8298
고려대이공대,8299
고려대이공대,8300
안암전철역,8301
안암전철역,8302
안암오거리,8303
개운사입구,8304
돈암시장입구,8305
돈암시장입구,8306
성북구청,8307
보문2교,8309
성신여대후문,8311
용문중고교.안암초교,8314
돈암초교입구,8318
정릉3동주민센터앞,8320
정릉3동주민센터앞,8321
삼덕단지앞,8322
삼덕단지앞,8323
솔샘사거리,8324
솔샘사거리,8325
보문역3번출구,8326
성북우체국현대백화점,8327
정릉동풍림아파트,8328
현대백화점,8329
돈암동일신건영휴먼빌아파트,8330
석계역,8332
석계역,8333
월곡2SH빌아파트,8334
석관고등학교후문,8335
길음역,8336
청소년문화의집.정릉e편한세상,8338
상진운수종점,8341
상진운수종점,8342
대진여객차고지,8344
정릉북한산국립공원입구,8347
풍림아파트삼거리,8348
성북생태체험관,8349
정릉초교,8350
월곡중학교,8353
508단지삼거리,8355
산장빌라,8357
산장빌라,8358
성북참노인전문병원,8359
교수단지,8360
우방아파트,8361
다리앞.일신건영아파트후문,8364
현대홈타운,8365
돈암동일신건영휴먼빌아파트,8366
구민회관입구,8367
508단지입구,8368
스카이힐스,8369
508단지삼거리,8370
대일외고서경대정문,8371
서경대본관,8372
서경대본관,8373
미화약국.길음뉴타운8단지,8380
미화약국.길음뉴타운8단지,8381
서경로꿈마루도서관앞,8382
국민커뮤니티센터,8390
정릉연립,8391
국민대후문,8392
국민대후문,8393
고려대사범대학부속고등학교.후문,8394
고려대사범대학부속고등학교.후문,8395
월곡래미안루나밸리,8396
길음뉴타운10단지.라온유아파트,8400
숭곡초교후문,8401
월곡아남아파트,8402
월곡동신아파트,8403
돌곶이역8번출구,8404
한성대입구역,8405
서울사대부설중학교,8411
서울사대부설고등학교,8412
서경대정문앞,8800
수유3동우체국,9001
수유3동우체국,9002
수유역,9003
수유역.강북구청,9004
수유시장.성신여대미아캠퍼스앞,9005
수유시장.성신여대미아캠퍼스앞,9006
미아역.신일중고,9007
미아역.신일중고,9008
도봉세무서.성북시장,9009
도봉세무서.성북시장,9010
미아사거리역,9011
미아사거리역,9012
수유(강북구청)역,9013
우이동도선사입구,9102
우이동성원아파트,9103
우이동성원아파트,9104
진성빌라사거리,9105
서라벌중학교.우이동대우아파트,9106
덕성여대솔밭근린공원,9107
국립4.19민주묘지입구사거리,9108
국립4.19민주묘지입구사거리,9109
국립4.19민주묘지입구사거리,9110
국립4.19민주묘지입구사거리,9111
국립419묘지삼거리.윤극영가옥,9112
국립419묘지삼거리.윤극영가옥,9113
인수동백운교회입구,9114
인수동백운교회입구,9115
인수중학교,9116
인수중학교,9117
서울영어마을수유캠프국립재활원입구,9118
서울영어마을수유캠프국립재활원입구,9119
인수동장미원,9120
인수동장미원,9121
가오리수유종합사회복지관,9122
가오리수유종합사회복지관,9123
북부성모의원,9124
북부성모병원,9125
수유2동주민센터우이시장,9126
수유2동주민센터우이시장,9127
광산사거리,9128
광산사거리,9129
우이초등학교후문,9130
우이초등학교후문,9131
인수동청수탕입구,9132
인수동청수탕입구,9133
우이초등학교,9134
우이초등학교,9135
화계사입구.한신대학교대학원,9136
화계사입구.한신대학교대학원,9137
수유동삼양탕앞,9138
수유동삼양탕앞,9139
화계사입구사거리,9140
화계사입구사거리,9141
강북노인종합복지관,9142
강북노인종합복지관,9143
신일병원,9144
신일병원,9145
강북구청,9146
강북구청,9147
강북경찰서입구,9148
강북경찰서입구,9149
북부시장입구,9150
북부시장입구,9151
번동사거리,9152
번동사거리,9153
북부수도사업소,9154
북부수도사업소,9155
화계사입구,9156
화계사입구,9157
빨래골입구.수유1동주민센터,9158
빨래골입구.서울수유초등학교,9159
롯데마트삼양점.래미안1차아파트,9160
롯데마트삼양점.래미안1차아파트,9161
삼양초등학교,9162
삼양초등학교,9163
강북청소년문화정보도서관입구,9164
강북청소년문화정보도서관입구,9165
삼양동사거리,9166
삼양동사거리,9167
송천초등학교.미아뉴타운입구,9168
송천초등학교.미아뉴타운입구,9169
삼양동사거리,9170
삼양동사거리,9171
성암국제무역고등학교,9172
성암국제무역고등학교,9173
삼양동사거리입구,9174
삼양동사거리입구,9175
강북보건소,9176
신창교,9177
강북보건소,9179
번동주공4단지,9180
초안교,9181
번동주공3단지,9182
번동주공3단지,9183
번동주공1단지,9184
번동주공1단지,9185
오현초등학교,9186
북서울꿈의숲,9187
송중동한일유엔아이,9188
창문여고앞,9189
숭곡초등학교입구,9190
강북청소년수련관,9194
강북청소년수련관,9195
국립4.19민주묘지,9196
국립4.19민주묘지,9197
강북중학교,9198
한성운수차고지,9199
광산사거리,9200
광산사거리,9201
수유중앙시장,9203
대한병원,9205
삼성화재강북지점,9206
강북구청사거리,9207
강북구청사거리,9208
수송초등학교,9209
수송초등학교,9210
수유중학교혜화여고,9211
혜화여고,9212
서울정인학교,9213
우광타운,9214
구세군강북종합사회복지관입구,9215
구세군강북종합사회복지관입구,9216
솔샘중고등학교.팔팔·미송경로당,9217
솔샘중고등학교.팔팔·미송경로당,9218
동북프라자,9219
동북시장,9220
SK아파트입구,9221
SK아파트입구,9222
삼각산동SK아파트북한산시티미양초등학교,9223
삼양동벽산라이브파크미양초등학교,9224
SK아파트벽산아파트상가,9225
SK아파트벽산아파트상가,9226
솔샘터널,9227
번동주공아파트3단지4단지,9228
번동주공아파트3단지4단지,9229
번동초등학교,9230
번동한솔솔파크,9231
번동한솔솔파크,9232
번동해모로아파트,9233
번동해모로아파트,9234
강북문화정보센터,9235
강북문화정보센타,9236
동문굿모닝힐,9237
동문굿모닝힐,9238
북서울꿈의숲,9239
벼랑바위,9240
벼랑바위,9241
"경남아너스빌,꿈의숲해링턴아파트",9242
"경남아너스빌,꿈의숲해링턴아파트",9243
송중초등학교,9244
송중초등학교,9245
수유3동우체국,9246
수유3동우체국,9247
수유역.노스페이스문화센터,9248
수유역.강북구청,9249
미아역8번출구.신일중고,9253
미아사거리역,9260
미아사거리역,9261
한신대학교,9263
수유사거리,9266
수유사거리,9267
송중동주민센터앞,9269
송중동경남아너스빌정문,9270
북서울꿈의숲,9271
수유역.강북구청,9272
강북구보건소삼각산분소,9273
강북구보건소삼각산분소,9274
삼각산동삼각산아이원아파트후문,9275
삼각산동삼각산아이원아파트후문,9276
롯데백화점미아점,9277
우이동주민센터입구,9278
솔샘터널,9283
우이동도선사입구,9286
우이동차고지기점,9289
한성운수종점,9290
화계사입구.종점,9291
SK아파트벽산아파트상가,9293
우이동차고지종점,9294
삼각산동삼각산아이원아파트정문,9295
삼각산동삼각산아이원아파트정문,9298
삼각산고.래미안트리베라,9302
삼각산고.래미안트리베라,9303
방천시장입구,9304
화계사입구.한신대학교대학원,9305
미아사거리역.롯데백화점,9306
삼각산119안전센터,9307
삼각산119안전센터,9308
무량사입구,9310
무량사입구,9311
꿈의숲주차장입구,9312
수유중앙시장,9313
대한병원,9314
미아사거리역2번출구,9739
도봉산역,10001
도봉산역,10002
도봉한신아파트,10003
도봉한신아파트,10004
서울북부지방법원.검찰청.도봉역성황당,10005
서울북부지방법원.검찰청.도봉역성황당,10006
신도봉사거리,10007
신도봉사거리,10008
도봉소방서.방학남부역,10009
도봉소방서.방학남부역,10010
도봉보건소,10011
도봉보건소.북한산아이파크아파트,10012
도봉구민회관.도봉문화원,10013
도봉구민회관.도봉문화원,10014
쌍문역,10015
쌍문역,10016
우이1교앞,10017
우이1교앞,10018
신도봉시장.도봉구청.방학북부역,10019
신도봉시장.도봉구청.방학북부역,10020
도봉동한신아파트,10103
도봉동한신아파트,10104
녹천역,10105
서울북부지방법원.검찰청.도봉역성황당,10107
서울북부지방법원.검찰청.도봉역성황당,10108
도봉견인차량보관소,10109
도봉견인차량보관소,10110
방학역,10111
도봉소방서,10113
도봉소방서,10114
방학사거리·바로선병원,10115
방학사거리,10116
도봉보건소,10117
도봉보건소,10118
정의여중고앞,10119
정의여중고앞,10120
도봉구민회관.도봉문화원,10121
도봉구민회관.도봉문화원,10122
쌍문역,10126
우이1교앞,10127
서울북부지방법원.검찰청.성우아파트,10129
서울북부지방법원.검찰청.성우아파트,10130
법조타운공영주차장,10131
법조타운공영주차장,10132
도봉구청,10133
도봉구청,10134
방학1동대상타운현대삼성아파트,10135
방학1동대상타운현대삼성아파트,10136
창동쌍용아파트,10137
창동쌍용아파트,10138
자운고등학교앞,10139
자운고등학교앞,10140
창동동아청솔아파트,10141
창동동아청솔아파트,10142
창동농협물류센터,10143
창동농협물류센타,10144
창동농협물류센터,10145
창동역동측,10146
창동동아아파트,10147
창동동아아파트,10148
창동주공19단지,10149
창동주공19단지,10150
창동주공18단지,10151
창동주공18단지,10152
도봉산입구,10153
도봉고등학교,10154
김근태기념도서관.도봉고등학교,10155
도봉역,10156
도봉역,10157
노원교,10158
노원교,10159
성대야구장노원교앞,10160
천주교도봉동교회,10161
천주교도봉동교회,10162
오봉초등학교,10163
오봉초등학교,10164
방학2동공영주차장,10165
방학2동공영주차장,10166
방학2동주민센터,10167
방학2동주민센터,10168
신방학중학교앞,10172
방학동신우빌라,10173
방학동신우빌라,10174
방학동삼익세라믹,10175
방학동삼익세라믹,10176
쌍문동청구아파트,10177
쌍문동청구아파트,10178
샘말어린이공원,10179
원약국,10180
원약국,10181
신한은행방학동지점,10182
신한은행방학동지점,10183
연산군.정의공주묘,10184
연산군정의공주묘,10185
방학동신동아타워,10186
방학동신동아타워,10187
방학3동신동아프라자,10188
방학동신동아아파트,10189
방학동신동아아파트,10190
국민은행방학지점,10191
국민은행방학지점,10192
신한은행방학동지점,10193
신한은행방학동지점,10194
방학사거리,10195
방학사거리,10196
서울문화고등학교,10197
서울문화고등학교,10198
서울문화고등학교,10199
쌍문동청한빌라,10200
쌍문동청한빌라,10201
쌍문동우이빌라,10202
쌍문동우이빌라,10203
초당초등학교,10204
초당초등학교,10205
방학동우성아파트,10206
방학동우성.청구아파트,10207
방학3동신동아프라자,10208
방학3동주민센터,10209
쌍문동성원아파트,10210
쌍문동성원아파트,10211
쌍문동한양.현대아파트,10212
쌍문동현대.한양아파트,10213
쌍문동삼익금호1차아파트,10214
쌍문동금호1차삼익아파트,10215
도봉구보건소앞,10216
도봉구보건소앞,10217
북서울교회,10218
서라벌중학교.우이동대우아파트,10219
덕성여대입구,10221
쌍문초등학교,10222
쌍문초등학교,10223
숭미초등학교,10224
숭미초등학교,10225
창동주공1단지,10228
창동주공1단지아파트,10229
도봉등기소,10231
도봉등기소,10232
창4동주민센터,10235
창4동주민센터,10236
창동주공4단지,10241
창동주공4단지,10242
도봉문화정보도서관,10244
도봉문화정보도서관,10245
창림초교창동신창아파트앞,10246
창림초교창동신창아파트앞,10247
국립현대미술관 창동레지던시,10248
국립현대미술관 창동레지던시,10249
창동서울탁주앞,10250
창동서울탁주앞,10251
창2동주민센터.보건지소,10252
창2동주민센터.보건지소,10253
중앙약국,10256
중앙약국,10257
한신아파트101동앞,10258
KT도봉지점,10259
창동청구빌라,10260
창동청구빌라,10261
창림초등학교후문,10262
창림초등학교후문,10263
창동대우아파트,10264
창동역동측(도봉방면),10265
창동역동측(노원방면),10266
서울가든아파트앞,10269
창1동주민센터,10270
창1동주민센터,10271
창동주공3단지,10272
창동주공3단지,10273
세그루학원,10276
세그루학원,10277
창동주공17단지,10278
창동주공17단지,10279
창3동염광아트필,10280
창3동염광아트빌,10281
한승미메이드아파트,10282
한승미메이드아파트,10283
북서울농협창동지점,10284
북서울농협창동지점,10285
신화초교입구,10286
신화초교입구,10287
서울외국어고등학교,10292
서울외국어고등학교,10293
방학동도깨비시장입구,10294
거성학마을아파트,10295
도봉새마을금고본점,10296
창5동현대아파트,10297
창5동현대1차아파트,10298
창동아이파크,10299
창번교,10301
방학3동주민센터,10302
도봉동서광아파트,10303
정병원,10304
창동고등학교,10305
도깨비시장,10309
방학동도깨비시장,10310
태영데시앙아파트,10311
창번교앞,10312
금용아파트,10313
창번2교앞,10314
대우아파트104동,10315
도봉산입구,10317
샘말어린이공원,10320
안방학동,10321
동아운수앞,10325
창동.신창시장,10330
신창.창동시장,10331
안방학동,10333
안방학동,10334
창동농협물류센터,10335
태영데시앙아파트,10336
방학중학교,10337
도봉산역광역환승센터,10339
도봉산역광역환승센터,10340
도봉산역광역환승센터,10341
창동교,10411
창동교,10412
녹천교,10413
녹천교,10414
청구아파트,10564
창2동주민센터·보건지소,10587
거성학마을아파트,10617
창북중학교,10657
서원아파트,10735
서울문화고등학교,10740
청구아파트,10747
방학동극동아파트.방학동천주교성당,10806
방학중학교,10808
방학동도깨비시장입구,10997
공릉시장,11101
공릉시장,11102
태릉입구역4번출구,11103
태릉입구역3번출구,11104
태릉입구역,11105
태릉입구역,11106
공릉1동삼익아파트,11107
공릉초등학교,11108
대주아파트,11109
공릉1동경로당,11110
공릉대아2차아파트,11111
태릉사거리,11112
주양교회앞,11113
주유소앞다운복지관,11114
태릉사거리,11115
서울생활사박물관.농협앞,11116
태릉입구역7번출구.서울생활사박물관,11117
화랑대역1번출구,11118
공연초등학교,11119
공릉역,11120
서울과학기술대앞,11121
동신아파트,11122
현대성우아파트,11123
동부아파트,11124
한보아파트.삼익아파트,11125
삼익아파트.한보아파트,11126
원자력병원,11127
원자력병원입구,11128
안마을,11129
두산힐스빌아파트,11130
두산힐스빌아파트,11131
안마을,11132
공릉해링턴플레이스,11133
효성화운트빌원자력병원후문,11134
공릉우방아파트,11135
태릉해링턴플레이스아파트,11136
화랑타운아파트,11137
청솔아파트,11138
화랑대역2번출구,11139
공릉중학교입구,11140
공릉중학교입구,11141
육군사관학교정문,11142
육군사관학교정문,11143
서울여대.육군사관학교행정안내소,11144
서울여대.육군사관학교행정안내소,11145
태릉국제사격장,11146
태릉국제사격장,11147
태릉강릉,11148
태릉강릉,11149
태릉선수촌,11150
태릉선수촌,11151
한국체육과학연구원,11152
한국체육과학연구원,11153
삼육대앞,11154
삼육대앞,11155
담터고개,11156
원자력병원공릉동삼익2차아파트,11157
예수사랑교회,11158
서울과학기술대입구,11159
서울과학기술대입구,11160
공릉역1번출구,11161
공릉역4번출구,11162
공릉신도2차아파트,11163
공릉대동2차아파트,11164
공릉대동2차아파트,11165
노원문화원,11166
노원문화원,11167
용원초등학교,11168
용원초등학교,11169
공릉동.동신아파트앞,11170
공릉2단지,11171
서울과학기술대학교후문,11172
영화교회,11173
서울과학기술대학교후문,11174
공릉삼익아파트,11175
공연초등학교,11176
공릉역,11177
공릉1단지후문,11178
상계주공9단지,11180
노원고등학교,11181
임광아파트상가,11182
상계주공7단지,11183
대림아파트상가,11184
도봉면허시험장,11185
도봉면허시험장,11186
상계주공7단지,11187
상계주공7단지.광림교회앞,11188
상계10동우체국,11189
청원고등학교,11190
상계주공9단지,11191
온곡중학교노원정보도서관,11192
온곡중학교노원정보도서관,11193
두산아파트.도심공항수락터미널,11194
두산아파트.도심공항수락터미널,11195
수락산역3번출구,11196
수락산역,11197
노일초등학교,11198
노원초등학교,11199
상계현대2차아파트,11200
상계현대3차아파트,11201
노원마을,11202
노원마을,11203
수락중고등학교,11204
수락중고등학교,11205
은빛아파트2단지,11206
홍파복지원미주아파트,11207
상계초등학교,11208
상계초등학교,11209
노원역9번출구,11210
노원역1번출구,11211
롯데백화점노원점.노원역4번출구,11212
와우패션클럽,11213
중앙하이츠2차아파트,11214
상계중학교정문,11215
상계중학교,11216
코오롱아파트.양지대림아파트,11217
상계119안전센터,11218
상계119안전센터,11219
상계동주유소,11220
상계동주유소,11221
상계중앙시장입구,11222
상계중앙시장입구,11223
흥안운수종점,11224
흥안운수종점,11225
불암현대아파트,11226
동아불암아파트,11227
동아불암아파트,11228
상계시장,11229
불암대림아파트,11230
불암대림아파트,11231
흥안운수상계4동종점,11232
상계역,11233
상신교회,11234
상신교회,11235
계상초등학교,11236
상계5동주민센터,11237
상계한신2차아파트,11238
상계한신2차아파트,11239
상계벽산아파트,11240
상계2동주민센터,11242
벽산아파트103동,11243
상계주공3단지,11244
상계주공2단지,11245
상계주공1단지,11246
마들근린공원.노원에코센터,11247
마들근린공원.노원에코센터,11248
노원구청,11250
노원구청,11251
노원구청,11252
상계주공2단지223동,11253
상계주공2단지,11254
상계주공6단지,11255
상계주공4단지,11256
백병원,11257
상계6.7동주민센터,11260
상계중학교,11261
상계2동주민센터,11262
상경초등학교,11266
상계주공15단지,11267
상계주공11단지,11268
상계주공10단지,11269
노원고등학교,11270
상계주공10단지상가,11271
상계주공14단지,11272
상계주공12단지,11273
보람아파트1단지,11274
보람아파트2단지,11275
청원고등학교,11276
상계주공12단지1202동,11277
광운대역,11278
광운대역,11279
월계현대아파트,11280
월계현대아파트,11281
물류센터,11282
석계역1번출구.A,11283
석계역2번출구,11284
광운대학교,11285
월계삼거리,11286
청백아파트1단지,11291
대우아파트,11292
청백아파트3단지4단지,11293
청백아파트3단지4단지,11294
초안아파트.흥화브라운빌아파트,11295
초안아파트.흥화브라운빌아파트,11296
쌍용스윗닷홈아파트,11297
신창중학교후문,11298
신창중학교후문,11299
염광고등학교,11300
염광고등학교,11301
월계주공1단지상가,11302
월계공단,11303
월계종합사회복지관,11304
월계종합사회복지관,11305
월계주공2단지,11306
월계주공1단지,11307
인덕대학교,11308
인덕대학교,11309
월계주공108동앞롯데캐슬루나아파트,11310
인덕대학,11311
한진한화그랑빌아파트,11312
한진한화그랑빌아파트,11313
한천초등학교,11314
한천초등학교,11315
월계미성아파트,11317
월계미륭아파트,11318
월계미륭아파트,11319
월계삼호아파트,11320
월계삼호아파트,11321
월계삼호4차아파트,11322
월계삼호4차아파트,11323
녹천초등학교월계이마트,11324
녹천초등학교월계이마트,11325
월계사슴아파트2단지,11326
월계사슴아파트3단지,11327
월계역,11328
월계역,11329
대우아파트,11330
인덕삼거리,11331
신도브래뉴.한전노원변전소,11332
"광운중, 광운인공지능고등학교",11333
"광운중, 광운인공지능고등학교",11334
광운대학교,11335
월계삼거리,11336
롯데캐슬루나아파트,11337
인덕대앞,11338
월계보건지소,11339
월계보건지소,11340
교육촌.벼루말,11341
장석교회,11343
쌍용스윗닷홈아파트,11344
인덕삼거리,11345
신도브래뉴.한전노원변전소,11346
상명고등학교.성원아파트,11347
중계1동주민센터,11348
은행사거리,11349
양지근린공원,11350
서라벌고등학교,11351
불암중학교,11352
불암중학교,11353
중계주공10단지,11354
롯데우성아파트,11355
중계구민체육센터,11356
중계구민체육센터,11357
노원구민체육센터,11358
을지중학교,11359
을지중학교,11360
청암중.고등학교,11361
중계주공5단지514동,11364
원광초등학교,11365
중계역,11366
노원구민의전당,11367
건영옴니백화점,11368
브라운스톤중계.우리은행앞,11369
서울아이티고등학교,11370
서울아이티고등학교,11371
어린이교통공원,11372
중계역,11373
서울시립북서울미술관,11374
중계건영2차아파트,11375
중계역2번출구,11376
상명초등학교,11377
중계3단지목련아파트,11378
상명고등학교,11379
중계시영3단지상가,11380
중계시영4단지,11381
용동초등학교,11382
용동초등학교,11383
2001아울렛중계점,11384
2001아울렛중계점,11385
홈플러스중계점,11386
노원평생학습관,11387
대진여자고등학교,11388
청계초등학교,11389
중계역1번출구,11390
상계역,11391
상계역,11392
상계역,11393
중계주공3단지,11394
중계주공2단지,11395
중계주공4단지,11396
중계주공4단지,11397
중계1동주민센터,11398
신한은행중계본동지점,11399
기업은행중계동지점,11400
공릉신도2차아파트,11401
노원문화예술회관.불암초등학교,11402
노원문화예술회관.불암초등학교,11403
영신여자고등학교입구,11404
불암고등학교,11405
중계본동주민센타,11406
노원우체국,11407
노원우체국,11408
중계본동종점,11409
중계주공7단지,11410
중계주공6단지상가,11411
대림벽산아파트,11412
중계주공6단지,11413
은행사거리,11414
대림벽산아파트,11415
하계역,11416
하계미성아파트,11417
서울과학기술대앞,11418
중계주공9단지후문,11419
중계주공9단지후문,11420
삼익선경아파트후문,11421
한신동성아파트,11422
삼익선경아파트,11423
"대진고등학교,하계우방아파트",11424
하계미성아파트.을지병원,11425
하계역,11426
한성여객종점,11428
한성여객종점,11429
상계중앙하이츠2단지,11430
북부여성발전센터앞,11431
그린아파트101동앞,11432
대진고등학교,11433
골마을근린공원,11434
세이브존스포츠센터,11435
하계1동주민센터,11436
노원경찰서.혜성여고,11437
노원경찰서,11438
동천학교,11439
동천학교,11440
서라벌고등학교,11441
하계현대아파트,11442
홈플러스중계점,11443
하계한신청구아파트,11444
경기기계공업고등학교,11445
한천중학교,11446
하계역,11447
하계장미아파트,11448
하계2동주민센타,11449
하계2동주민센타,11450
중평초등학교,11451
하계극동아파트,11452
하계시영아파트,11453
하계우성아파트,11454
하계장미아파트,11455
중평초등학교,11456
석계역1번출구,11457
중계1동신안아파트,11458
하계5단지아파트,11459
그린아파트101동앞,11460
북부여성발전센터앞,11461
당현초등학교,11462
상계주공2단지상가,11463
월계미성아파트,11464
벼루말교,11465
청구빌라.연촌초등학교,11466
청구빌라.연촌초등학교,11467
벼루말교,11468
하계1치안센타,11469
하계1치안센타,11470
월계중학교,11474
염광중학교후문,11475
물류센타,11476
월계역신도브래뉴아파트앞,11477
태릉입구,11478
석계역2번출구,11479
석계역1번출구.B,11481
삼화상운차고지,11482
월계동진아교통,11485
월계동진아교통,11486
중계본동종점,11487
한성여객종점,11489
한진한화그랑빌아파트,11490
흥안운수상계4동종점,11491
삼화상운,11493
유원극동아파트,11499
유원극동아파트,11500
월계미륭아파트,11501
7단지영업소,11502
수락리버시티3.4단지,11503
7단지영업소,11504
모범사무실,11505
월계주공1단지아파트앞,11506
불암산스포츠타운,11507
중계본동종점,11508
불암산스포츠타운,11509
노원구청앞,11563
상계6동우체국,11590
노원역5번출구,11596
KT전화국,11601
당고개역,11664
청솔7단지앞,11801
해병전우회,11803
마들역,11829
마들역,11830
노원역8번출구,11931
당고개역,11990
동막골유원지,11992
동막골유원지,11997
덕은교.은평차고지앞,12001
덕은교.은평차고지앞,12002
수색교,12003
수색교,12004
수색역앞,12005
수색역앞,12006
디지털미디어시티역,12007
디지털미디어시티역,12008
은평뉴타운10단지,12009
은평뉴타운10단지,12010
구파발역입구,12011
구파발역입구,12012
박석고개.신도고등학교,12013
박석고개.신도고등학교,12014
세명컴퓨터고등학교,12015
세명컴퓨터고등학교,12016
연신내역.연서시장,12017
연신내역.연서시장,12018
동명여고.천주교불광동성당,12019
동명여고.천주교불광동성당,12020
불광역3.6호선,12021
불광역3.6호선,12022
불광역3호선.서울혁신파크,12023
불광역3호선.서울혁신파크,12024
한전서대문은평.북한산푸르지오,12025
한전서대문은평.북한산푸르지오,12026
녹번역,12027
녹번역,12028
불광역1번출구,12103
불광역3.6호선,12104
동명여고,12105
연신내역,12106
선일하이츠빌라,12107
세명컴퓨터고등학교,12109
구파발역2번출구,12111
박석고개,12117
신한은행갈현지점,12118
연신내역,12119
동명여고,12120
불광역3.6호선,12121
불광역4번출구,12122
녹번역,12125
은평구청,12126
서대문세무서별관,12127
서부병원,12128
신진자동차고등학교.이마트.은평점,12129
응암역신사오거리,12130
응암역신사오거리,12131
신진자동차고등학교.이마트.은평점,12132
서부병원,12133
서대문세무서별관,12134
은평구청,12135
녹번초등학교.서대문세무서별관,12137
역촌역.역촌오거리,12138
삼성타운,12139
구산역1번출구.예일여고,12140
역촌중앙시장,12141
구산사거리,12142
선진운수종점,12143
선정중고등학교,12144
"서울경찰청86,87기동대.우남아파트",12145
"서울경찰청86,87기동대.우남아파트",12146
선정중고등학교,12147
선진운수종점,12148
구산사거리,12149
역촌중앙시장,12150
구산역2번출구.예일여고,12151
하나은행역촌동지점,12152
"역촌역,역촌오거리",12153
녹번초등학교.서대문세무서별관,12154
응암초등학교,12155
은평문화예술정보학교,12156
응암오거리,12157
신사초등학교,12158
신사동고개 사거리,12159
신사동고개 사거리,12160
신사초등학교,12161
응암오거리,12162
은평문화예술정보학교,12163
응암초등학교,12164
대림시장,12165
대림시장,12166
응암역.신사오거리,12167
신흥시장,12168
새절역.숭실고입구,12169
와산교,12170
증산중학교입구,12172
증산중학교입구,12173
증산역.증산동주민센터,12174
와산교,12175
새절역.숭실고입구,12176
신흥시장,12177
응암역.신사오거리,12178
역촌초등학교,12179
역촌상가,12180
구산역2번출구.예일여고,12181
구산역1번출구,12182
대조동주민센터,12183
연신내역.로데오거리,12184
연서시장,12185
종로약국,12186
불광지구대,12187
북한산대창센시티아파트,12188
은평경찰서,12189
폭포동,12190
신도중학교,12192
은평노인종합복지관.신도중학교,12195
폭포동.은평노인종합복지관,12197
은평경찰서,12198
연신초등학교,12199
불광지구대,12200
새장골유래비,12201
연서시장,12202
연신내역.로데오거리,12203
은평연세병원,12204
구산역4번출구,12205
구산역3번출구.예일여고,12206
역촌상가,12207
역촌초등학교,12208
응암역2번출구,12209
신사동고개.은평지역자활센터,12210
서울기독대학교입구,12211
시립서북병원세현교회앞,12212
구산중학교.구산교회,12213
구산동주민센터.구산치안센터,12214
구산동주민센터.구산치안센터,12215
구산중학교.구산교회,12216
시립서북병원세현교회앞,12217
서울기독대학교입구,12218
우남교통,12219
신사동고개.은평지역자활센터,12220
갈현1동주민센터,12221
한일탕,12222
한일탕,12223
갈현1동주민센터,12224
진관초교입구,12227
푸르지오625동앞.관음사입구,12229
삼천리골입구56사단북한산부대,12230
백화사,12231
흥국사,12232
북한산성입구,12233
북한산성입구,12234
흥국사,12235
백화사,12236
삼천리골입구56사단북한산부대,12237
진관초교관음사입구,12238
푸르지오618동앞.관음사입구,12239
진관중고교약수사입구,12240
응암2동주민센터,12241
응암2동주민센터,12242
이마트.은평점,12243
서부경찰서후문,12244
해주드림빌APT,12245
역촌역.역촌오거리,12246
대조시장앞,12247
양광교회앞,12248
불광역.불광1동주민센터,12249
독박골.북한산래미안APT앞,12250
구기터널입구,12251
구기터널입구,12252
독박골.북한산래미안APT,12253
불광역.불광1동주민센터,12254
양광교회,12255
대조시장,12256
역촌오거리,12257
역촌역1번출구,12258
서부경찰서후문,12259
이마트.은평점,12260
응암1동주민센터,12261
영락중학교입구,12262
시립은평병원,12263
백련산힐스테이트2차,12264
충암고교앞.대주피오레아파트,12265
충암고교앞.대주피오레아파트,12266
백련산힐스테이트2차,12267
시립은평병원,12268
영락중학교입구,12269
응암1동주민센터,12270
한솔아파트입구선정중학교후문,12271
갈현동미미아파트,12272
선일여고입구,12273
선진운수종점,12274
선진운수종점,12275
선일여고입구,12276
갈현동미미아파트,12277
한솔아파트입구선정중학교후문,12278
불광역9번출구.불광초등학교,12279
