연,월,일,요일,기상조건,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
2022,1,1,토,맑음,-4.3,-10.2,2.3,0.0
2022,1,2,일,약한눈비,-1.3,-5.2,3.0,0.3
2022,1,3,월,맑음,-1.9,-8.0,2.5,0.0
2022,1,4,화,맑음,-2.5,-5.6,1.0,0.0
2022,1,5,수,맑음,-2.8,-7.8,1.9,0.0
2022,1,6,목,맑음,-2.2,-5.9,3.3,0.0
2022,1,7,금,맑음,-1.6,-5.9,4.5,0.0
2022,1,8,토,맑음,0.3,-5.0,3.7,0.0
2022,1,9,일,맑음,1.3,-1.2,5.6,0.0
2022,1,10,월,약한눈비,0.5,-3.4,4.4,0.9
2022,1,11,화,약한눈비,-7.4,-10.3,0.3,0.2
2022,1,12,수,맑음,-7.7,-11.3,-3.4,0.0
2022,1,13,목,맑음,-6.4,-8.9,-3.1,0.0
2022,1,14,금,맑음,-4.8,-10.1,1.3,0.0
2022,1,15,토,맑음,-1.0,-5.3,1.8,0.0
2022,1,16,일,맑음,-2.0,-7.2,2.4,0.0
2022,1,17,월,약한눈비,-5.8,-9.2,0.1,0.5
2022,1,18,화,맑음,-5.6,-9.9,-0.7,0.0
2022,1,19,수,약한눈비,-5.3,-7.7,-2.7,1.7
2022,1,20,목,맑음,-5.0,-9.8,0.9,0.0
2022,1,21,금,맑음,-2.7,-8.7,4.6,0.0
2022,1,22,토,맑음,0.3,-5.0,7.1,0.0
2022,1,23,일,맑음,2.0,-0.6,6.7,0.0
2022,1,24,월,맑음,4.6,1.3,8.4,0.0
2022,1,25,화,약한눈비,2.8,1.9,4.5,0.7
2022,1,26,수,맑음,1.3,-1.9,6.8,0.0
2022,1,27,목,맑음,-1.1,-4.6,4.0,0.0
2022,1,28,금,맑음,-2.7,-5.9,2.1,0.0
2022,1,29,토,맑음,-3.6,-7.2,0.9,0.0
2022,1,30,일,맑음,-2.8,-8.0,2.4,0.0
2022,1,31,월,약한눈비,-0.7,-6.8,4.8,1.2
2022,2,1,화,약한눈비,-1.3,-2.7,0.9,1.7
2022,2,2,수,맑음,-3.4,-6.0,0.0,0.0
2022,2,3,목,맑음,-3.4,-6.9,0.4,0.0
2022,2,4,금,맑음,-5.2,-8.2,-0.7,0.0
2022,2,5,토,맑음,-6.6,-9.7,-2.0,0.0
2022,2,6,일,맑음,-3.9,-8.4,1.7,0.0
2022,2,7,월,맑음,-2.5,-7.3,1.9,0.0
2022,2,8,화,맑음,-0.1,-4.1,5.6,0.0
2022,2,9,수,맑음,1.0,-4.3,7.2,0.0
2022,2,10,목,맑음,1.4,-3.2,6.7,0.0
2022,2,11,금,맑음,2.9,-2.6,8.8,0.0
2022,2,12,토,맑음,4.8,-0.1,10.4,0.0
2022,2,13,일,맑음,4.8,1.6,9.5,0.0
2022,2,14,월,약한눈비,2.5,-1.3,8.1,1.7
2022,2,15,화,맑음,-4.7,-7.7,-1.3,0.0
2022,2,16,수,맑음,-7.3,-9.6,-4.1,0.0
2022,2,17,목,맑음,-6.2,-10.7,-0.5,0.0
2022,2,18,금,맑음,-1.2,-8.0,5.7,0.0
2022,2,19,토,약한눈비,-1.7,-6.2,3.7,0.1
2022,2,20,일,맑음,-4.8,-8.4,-0.5,0.0
2022,2,21,월,약한눈비,-3.0,-8.1,3.6,0.1
2022,2,22,화,맑음,-4.5,-8.0,0.5,0.0
2022,2,23,수,맑음,-5.6,-10.0,-0.6,0.0
2022,2,24,목,맑음,-2.4,-8.5,3.7,0.0
2022,2,25,금,맑음,3.0,-3.6,8.4,0.0
2022,2,26,토,약한눈비,5.4,1.0,9.3,1.1
2022,2,27,일,맑음,3.7,-1.6,9.1,0.0
2022,2,28,월,맑음,6.8,2.7,11.5,0.0
2022,3,1,화,약한눈비,5.8,0.3,9.7,2.3
2022,3,2,수,맑음,3.5,-2.3,8.8,0.0
2022,3,3,목,맑음,5.8,0.9,12.4,0.0
2022,3,4,금,맑음,6.9,0.6,14.6,0.0
2022,3,5,토,맑음,2.3,-0.7,6.7,0.0
2022,3,6,일,맑음,1.4,-3.0,6.8,0.0
2022,3,7,월,맑음,2.8,-2.7,8.7,0.0
2022,3,8,화,맑음,6.0,1.1,12.3,0.0
2022,3,9,수,맑음,7.1,1.7,14.8,0.0
2022,3,10,목,맑음,9.3,4.2,15.8,0.0
2022,3,11,금,맑음,11.2,5.1,18.4,0.0
2022,3,12,토,약한눈비,12.8,6.3,19.5,2.6
2022,3,13,일,약한눈비,11.7,10.7,12.6,42.1
2022,3,14,월,약한눈비,8.2,4.9,13.2,8.7
2022,3,15,화,맑음,7.2,2.3,13.3,0.0
2022,3,16,수,맑음,10.3,3.6,16.8,0.0
2022,3,17,목,약한눈비,10.7,7.8,15.1,1.2
2022,3,18,금,맑음,7.5,5.5,9.6,0.0
2022,3,19,토,약한눈비,3.4,0.9,6.1,14.6
2022,3,20,일,맑음,5.4,2.2,9.3,0.0
2022,3,21,월,맑음,5.0,-0.3,10.9,0.0
2022,3,22,화,맑음,7.1,1.1,13.6,0.0
2022,3,23,수,맑음,6.2,4.9,8.2,0.0
2022,3,24,목,맑음,8.2,3.9,12.4,0.0
2022,3,25,금,약한눈비,12.0,6.3,17.2,10.9
2022,3,26,토,약한눈비,11.8,9.5,14.7,19.8
2022,3,27,일,맑음,8.1,5.0,12.6,0.0
2022,3,28,월,맑음,8.2,1.5,15.1,0.0
2022,3,29,화,맑음,9.7,3.3,15.6,0.0
2022,3,30,수,약한눈비,10.8,5.9,15.7,0.4
2022,3,31,목,맑음,10.9,7.6,14.7,0.0
