연,월,일,요일,기상조건,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
2021,5,28,금,약한눈비,15.3,12.4,19.7,12.3
2021,5,29,토,약한눈비,15.4,12.8,19.1,0.3
2021,5,30,일,약한눈비,18.4,10.8,26.3,18.1
2021,5,31,월,약한눈비,19.9,16.5,23.8,4.0
2021,6,1,화,약한눈비,20.2,15.9,23.9,3.2
2021,6,2,수,맑음,23.2,16.6,29.7,0.0
2021,6,3,목,약한눈비,19.1,14.6,22.7,18.1
2021,6,4,금,맑음,18.5,13.3,23.6,0.0
2021,6,5,토,맑음,20.8,17.0,25.7,0.0
2021,6,6,일,맑음,23.0,18.4,28.2,0.0
2021,6,7,월,맑음,21.1,19.4,24.0,0.0
2021,6,8,화,약한눈비,23.6,18.8,29.5,0.1
2021,6,9,수,맑음,25.8,19.5,31.6,0.0
2021,6,10,목,약한눈비,24.9,20.5,29.8,6.1
2021,6,11,금,약한눈비,21.5,19.9,24.4,4.6
2021,6,12,토,맑음,24.2,18.2,30.2,0.0
2021,6,13,일,맑음,24.8,20.9,29.7,0.0
2021,6,14,월,맑음,24.8,18.9,30.2,0.0
2021,6,15,화,약한눈비,22.5,21.5,25.3,1.9
2021,6,16,수,맑음,24.3,20.3,28.9,0.0
2021,6,17,목,맑음,21.9,19.6,25.0,0.0
2021,6,18,금,약한눈비,20.0,19.0,21.4,6.3
2021,6,19,토,맑음,22.3,17.5,27.4,0.0
2021,6,20,일,맑음,22.9,17.6,29.0,0.0
2021,6,21,월,맑음,23.6,19.2,28.5,0.0
2021,6,22,화,맑음,22.8,19.7,28.6,0.0
2021,6,23,수,약한눈비,22.4,18.8,27.9,7.5
2021,6,24,목,맑음,23.0,18.5,28.0,0.0
2021,6,25,금,맑음,24.1,19.5,29.5,0.0
2021,6,26,토,약한눈비,22.8,19.9,26.7,4.5
2021,6,27,일,약한눈비,24.5,19.8,30.8,38.2
2021,6,28,월,약한눈비,23.7,21.0,29.2,0.1
2021,6,29,화,약한눈비,23.9,21.3,28.4,8.0
2021,6,30,수,약한눈비,24.3,21.0,28.8,6.0
2021,7,1,목,맑음,26.3,21.4,31.0,0.0
2021,7,2,금,맑음,27.1,23.6,31.8,0.0
2021,7,3,토,약한눈비,22.6,19.6,25.7,60.0
2021,7,4,일,약한눈비,21.4,19.8,23.1,21.4
2021,7,5,월,맑음,23.3,20.1,26.9,0.0
2021,7,6,화,맑음,25.3,21.0,30.1,0.0
2021,7,7,수,약한눈비,26.4,23.9,29.1,12.7
2021,7,8,목,약한눈비,26.0,23.8,29.8,2.9
2021,7,9,금,맑음,25.5,23.6,29.2,0.0
2021,7,10,토,약한눈비,25.9,23.1,29.2,0.5
2021,7,11,일,약한눈비,25.7,24.1,27.5,0.4
2021,7,12,월,맑음,28.1,23.8,32.5,0.0
2021,7,13,화,맑음,28.8,26.3,31.5,0.0
2021,7,14,수,폭염/한파,29.7,26.1,33.5,0.0
2021,7,15,목,폭염/한파,29.1,25.9,34.5,0.0
2021,7,16,금,폭염/한파,28.8,24.2,35.2,0.0
2021,7,17,토,맑음,29.1,24.7,32.8,0.0
2021,7,18,일,폭염/한파,29.6,25.7,34.1,0.0
2021,7,19,월,약한눈비,26.4,24.0,30.5,67.4
2021,7,20,화,맑음,27.9,23.6,31.8,0.0
2021,7,21,수,폭염/한파,30.5,25.3,35.3,0.0
2021,7,22,목,폭염/한파,31.2,26.5,35.9,0.0
2021,7,23,금,폭염/한파,31.2,27.2,35.8,0.0
2021,7,24,토,폭염/한파,31.7,26.9,36.5,0.0
2021,7,25,일,폭염/한파,31.5,27.2,35.9,0.0
2021,7,26,월,폭염/한파,31.2,27.4,35.4,0.0
2021,7,27,화,폭염/한파,31.1,27.8,35.7,0.0
2021,7,28,수,폭염/한파,30.4,27.1,34.7,0.0
2021,7,29,목,폭염/한파,29.6,27.0,33.3,0.0
2021,7,30,금,폭염/한파,30.5,25.8,35.4,0.0
2021,7,31,토,폭염/한파,29.8,26.8,34.3,3.0
2021,8,1,일,약한눈비,27.1,25.1,28.8,21.0
2021,8,2,월,약한눈비,26.5,25.0,28.6,1.7
2021,8,3,화,맑음,28.0,24.1,31.4,0.0
2021,8,4,수,폭염/한파,28.9,26.3,33.2,0.0
2021,8,5,목,폭염/한파,29.4,25.6,33.7,0.0
2021,8,6,금,맑음,28.1,26.0,32.2,0.0
2021,8,7,토,맑음,28.0,23.4,32.3,0.0
2021,8,8,일,약한눈비,26.8,24.4,32.1,12.7
2021,8,9,월,폭염/한파,28.3,23.3,33.6,0.0
2021,8,10,화,맑음,27.7,24.3,32.2,0.0
2021,8,11,수,맑음,27.4,24.1,31.6,0.0
2021,8,12,목,맑음,26.8,24.0,31.7,0.0
2021,8,13,금,맑음,26.6,23.4,30.1,0.0
2021,8,14,토,맑음,26.1,23.4,30.5,0.0
2021,8,15,일,맑음,26.9,21.7,32.4,0.0
2021,8,16,월,맑음,27.3,22.5,32.8,0.0
2021,8,17,화,약한눈비,25.9,21.9,31.3,9.3
2021,8,18,수,약한눈비,24.3,20.6,31.0,5.6
2021,8,19,목,맑음,26.0,21.0,31.5,0.0
2021,8,20,금,맑음,26.6,22.6,30.7,0.0
2021,8,21,토,약한눈비,23.8,21.0,25.5,62.8
2021,8,22,일,맑음,24.4,22.4,27.0,0.0
2021,8,23,월,약한눈비,22.4,21.0,24.0,7.4
2021,8,24,화,약한눈비,23.4,21.1,26.4,10.5
2021,8,25,수,약한눈비,25.0,23.5,27.3,0.3
2021,8,26,목,약한눈비,25.5,22.9,27.9,0.7
2021,8,27,금,약한눈비,22.4,20.4,25.5,0.9
2021,8,28,토,맑음,23.6,19.7,28.2,0.0
2021,8,29,일,약한눈비,23.7,21.9,26.3,0.9
2021,8,30,월,맑음,24.2,21.2,27.7,0.0
2021,8,31,화,약한눈비,20.5,18.1,23.1,77.4
2021,9,1,수,약한눈비,21.4,18.5,23.9,0.8
2021,9,2,목,맑음,23.5,20.7,26.7,0.0
2021,9,3,금,맑음,24.3,20.6,29.2,0.0
2021,9,4,토,맑음,23.2,18.5,28.6,0.0
2021,9,5,일,맑음,23.1,19.4,27.3,0.0
2021,9,6,월,약한눈비,22.3,18.0,26.4,12.0
2021,9,7,화,약한눈비,19.6,17.6,20.9,29.6
2021,9,8,수,약한눈비,22.2,19.0,26.9,1.6
2021,9,9,목,맑음,23.5,19.1,29.1,0.0
2021,9,10,금,맑음,23.6,19.5,28.9,0.0
2021,9,11,토,맑음,24.0,19.9,29.4,0.0
2021,9,12,일,맑음,24.2,19.2,29.8,0.0
2021,9,13,월,맑음,24.8,20.8,30.3,0.0
2021,9,14,화,맑음,24.6,20.0,29.5,0.0
2021,9,15,수,맑음,23.6,19.5,28.9,0.0
2021,9,16,목,맑음,22.9,18.0,27.3,0.0
2021,9,17,금,맑음,23.5,20.5,28.2,0.0
2021,9,18,토,맑음,23.9,18.9,29.8,0.0
2021,9,19,일,맑음,23.7,20.8,27.8,0.0
2021,9,20,월,맑음,23.7,19.0,28.4,0.0
2021,9,21,화,약한눈비,22.0,17.4,26.2,68.1
2021,9,22,수,약한눈비,20.2,16.8,24.3,4.5
2021,9,23,목,맑음,20.9,16.9,25.9,0.0
2021,9,24,금,맑음,21.8,16.7,26.9,0.0
2021,9,25,토,맑음,21.2,18.7,23.1,0.0
2021,9,26,일,맑음,22.6,18.4,27.3,0.0
2021,9,27,월,맑음,21.6,18.7,25.0,0.0
2021,9,28,화,약한눈비,21.5,19.6,24.4,1.3
2021,9,29,수,약한눈비,20.2,17.8,21.4,13.1
2021,9,30,목,맑음,20.3,16.0,25.9,0.0
2021,10,1,금,약한눈비,21.1,16.9,27.5,13.3
2021,10,2,토,맑음,20.7,16.4,26.6,0.0
2021,10,3,일,맑음,22.3,17.1,28.8,0.0
2021,10,4,월,약한눈비,22.9,19.2,25.6,3.6
2021,10,5,화,맑음,23.6,21.7,26.5,0.0
2021,10,6,수,약한눈비,18.8,17.9,21.7,6.4
2021,10,7,목,약한눈비,19.4,17.9,21.9,4.6
2021,10,8,금,약한눈비,18.8,17.5,20.0,3.5
2021,10,9,토,약한눈비,20.9,18.5,24.1,0.4
2021,10,10,일,약한눈비,19.9,14.9,24.3,14.2
2021,10,11,월,약한눈비,15.2,12.6,17.8,0.3
2021,10,12,화,맑음,17.9,15.8,21.3,0.0
2021,10,13,수,맑음,19.6,14.9,25.2,0.0
2021,10,14,목,맑음,19.7,17.4,23.9,0.0
2021,10,15,금,맑음,19.0,17.0,21.4,0.0
2021,10,16,토,맑음,10.7,4.2,18.1,0.0
2021,10,17,일,맑음,5.6,1.3,10.8,0.0
2021,10,18,월,약한눈비,9.6,2.8,16.1,5.6
2021,10,19,화,약한눈비,10.9,7.1,15.0,4.4
2021,10,20,수,맑음,9.5,4.6,15.8,0.0
2021,10,21,목,맑음,9.8,4.9,16.2,0.0
2021,10,22,금,맑음,10.8,5.2,17.2,0.0
2021,10,23,토,맑음,11.4,5.7,18.4,0.0
2021,10,24,일,맑음,11.4,6.0,18.1,0.0
2021,10,25,월,맑음,11.7,6.3,17.6,0.0
2021,10,26,화,맑음,13.0,7.7,19.0,0.0
2021,10,27,수,맑음,13.4,9.8,18.1,0.0
2021,10,28,목,맑음,12.7,7.1,20.0,0.0
2021,10,29,금,맑음,14.6,10.5,20.6,0.0
2021,10,30,토,맑음,13.8,11.0,18.0,0.0
2021,10,31,일,약한눈비,14.1,9.2,20.3,0.7
2021,11,1,월,맑음,12.9,10.3,16.9,0.0
2021,11,2,화,맑음,11.5,7.9,16.9,0.0
2021,11,3,수,맑음,12.1,7.6,17.1,0.0
2021,11,4,목,맑음,12.1,8.4,16.3,0.0
2021,11,5,금,맑음,13.0,7.8,20.2,0.0
2021,11,6,토,맑음,14.1,8.8,21.3,0.0
2021,11,7,일,맑음,15.3,9.7,21.3,0.0
2021,11,8,월,약한눈비,8.6,4.5,15.5,25.7
2021,11,9,화,약한눈비,4.9,3.0,6.5,2.0
2021,11,10,수,약한눈비,4.2,0.7,7.7,0.3
2021,11,11,목,맑음,5.3,2.1,9.7,0.0
2021,11,12,금,맑음,4.5,1.3,8.6,0.0
2021,11,13,토,맑음,7.3,0.5,13.4,0.0
2021,11,14,일,맑음,11.3,7.8,16.4,0.0
2021,11,15,월,맑음,10.1,5.8,15.7,0.0
2021,11,16,화,맑음,8.5,4.4,13.6,0.0
2021,11,17,수,맑음,7.5,2.7,12.5,0.0
2021,11,18,목,맑음,11.9,7.7,16.2,0.0
2021,11,19,금,맑음,12.9,10.2,16.7,0.0
2021,11,20,토,맑음,10.4,6.8,15.6,0.0
2021,11,21,일,약한눈비,10.4,7.6,13.1,5.9
2021,11,22,월,약한눈비,2.7,-0.6,7.5,1.3
2021,11,23,화,맑음,-0.6,-3.7,2.3,0.0
2021,11,24,수,맑음,4.1,-2.6,9.1,0.0
2021,11,25,목,맑음,5.7,2.6,9.9,0.0
2021,11,26,금,맑음,2.9,-0.5,7.2,0.0
2021,11,27,토,맑음,3.4,-1.4,10.1,0.0
2021,11,28,일,맑음,5.1,-1.3,12.4,0.0
2021,11,29,월,맑음,7.6,2.5,13.7,0.0
2021,11,30,화,약한눈비,5.7,0.7,8.9,27.2
2021,12,1,수,맑음,-1.3,-3.0,1.5,0.0
2021,12,2,목,약한눈비,1.3,-4.6,5.0,0.1
2021,12,3,금,약한눈비,1.9,-1.8,4.6,0.4
2021,12,4,토,맑음,1.4,-2.7,7.0,0.0
2021,12,5,일,맑음,2.9,-2.3,9.6,0.0
2021,12,6,월,맑음,5.4,-0.7,12.1,0.0
2021,12,7,화,맑음,6.8,2.6,13.3,0.0
2021,12,8,수,맑음,6.7,1.9,13.3,0.0
2021,12,9,목,맑음,6.5,2.7,9.7,0.0
2021,12,10,금,약한눈비,7.0,5.8,8.2,0.7
2021,12,11,토,맑음,6.0,4.4,9.8,0.0
2021,12,12,일,맑음,1.2,-3.8,5.1,0.0
2021,12,13,월,맑음,-2.2,-5.9,1.9,0.0
2021,12,14,화,약한눈비,3.7,-0.7,8.2,1.2
2021,12,15,수,약한눈비,7.2,5.4,10.0,2.1
2021,12,16,목,맑음,6.4,3.3,9.8,0.0
2021,12,17,금,맑음,-5.6,-10.1,3.2,0.0
2021,12,18,토,약한눈비,-5.7,-11.2,-1.8,2.8
2021,12,19,일,약한눈비,-0.8,-5.8,4.2,0.2
2021,12,20,월,맑음,5.2,-0.9,11.1,0.0
2021,12,21,화,맑음,5.2,0.8,8.9,0.0
2021,12,22,수,맑음,2.2,-2.6,8.2,0.0
2021,12,23,목,맑음,2.7,-1.5,8.3,0.0
2021,12,24,금,약한눈비,-0.3,-7.3,3.2,0.2
2021,12,25,토,폭염/한파,-11.7,-14.4,-7.3,0.0
2021,12,26,일,폭염/한파,-12.1,-15.5,-7.3,0.0
2021,12,27,월,폭염/한파,-7.6,-12.9,-3.9,0.0
2021,12,28,화,맑음,-4.1,-8.5,-0.9,0.0
2021,12,29,수,약한눈비,0.4,-3.8,5.9,0.2
2021,12,30,목,맑음,-3.9,-6.8,0.2,0.0
2021,12,31,금,맑음,-6.7,-8.8,-3.9,0.0
