연,월,일,요일,기상조건,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
2021,1,1,금,맑음,-4.2,-9.8,1.6,0.0
2021,1,2,토,맑음,-5.0,-8.4,-1.4,0.0
2021,1,3,일,맑음,-5.6,-9.1,-2.0,0.0
2021,1,4,월,맑음,-3.5,-8.4,0.3,0.0
2021,1,5,화,맑음,-5.5,-9.9,-2.1,0.0
2021,1,6,수,폭염/한파,-7.4,-12.0,-1.9,2.3
2021,1,7,목,폭염/한파,-14.5,-16.5,-8.4,0.0
2021,1,8,금,폭염/한파,-14.9,-18.6,-10.7,0.0
2021,1,9,토,폭염/한파,-12.2,-16.6,-7.5,0.0
2021,1,10,일,폭염/한파,-7.7,-12.8,-2.7,0.0
2021,1,11,월,맑음,-6.7,-9.6,-4.0,0.0
2021,1,12,화,약한눈비,-3.9,-9.3,-0.5,2.6
2021,1,13,수,맑음,2.0,-3.0,8.3,0.0
2021,1,14,목,맑음,1.7,-3.6,7.0,0.0
2021,1,15,금,약한눈비,4.5,-0.7,9.9,0.2
2021,1,16,토,맑음,-4.9,-8.7,-0.7,0.0
2021,1,17,일,맑음,-5.5,-10.8,-1.3,0.0
2021,1,18,월,약한눈비,-3.8,-9.1,0.2,0.3
2021,1,19,화,맑음,-6.3,-11.6,-0.2,0.0
2021,1,20,수,맑음,-0.1,-6.6,7.1,0.0
2021,1,21,목,약한눈비,4.5,2.5,7.0,9.2
2021,1,22,금,약한눈비,5.5,4.8,6.6,0.1
2021,1,23,토,맑음,7.6,4.8,12.2,0.0
2021,1,24,일,맑음,7.3,2.4,13.9,0.0
2021,1,25,월,맑음,7.9,3.0,13.9,0.0
2021,1,26,화,약한눈비,5.3,1.7,7.4,1.7
2021,1,27,수,맑음,1.7,-1.8,6.5,0.0
2021,1,28,목,약한눈비,-2.6,-9.7,1.4,2.0
2021,1,29,금,맑음,-8.8,-11.6,-4.9,0.0
2021,1,30,토,약한눈비,-1.6,-8.1,5.2,0.5
2021,1,31,일,맑음,3.2,-3.8,8.7,0.0
2021,2,1,월,약한눈비,5.0,-2.3,9.5,0.7
2021,2,2,화,맑음,-5.6,-8.2,-2.4,0.0
2021,2,3,수,약한눈비,-3.2,-9.4,1.4,3.4
2021,2,4,목,약한눈비,-3.6,-7.4,0.7,0.1
2021,2,5,금,맑음,1.4,-4.4,6.7,0.0
2021,2,6,토,맑음,6.8,4.3,9.5,0.0
2021,2,7,일,맑음,3.6,-2.6,7.7,0.0
2021,2,8,월,맑음,-3.1,-5.4,0.2,0.0
2021,2,9,화,맑음,-0.9,-6.1,4.7,0.0
2021,2,10,수,맑음,3.4,-1.5,7.2,0.0
2021,2,11,목,맑음,5.5,1.3,10.9,0.0
2021,2,12,금,맑음,6.5,0.6,14.0,0.0
2021,2,13,토,맑음,7.6,1.0,15.9,0.0
2021,2,14,일,맑음,9.5,6.4,13.8,0.0
2021,2,15,월,약한눈비,1.2,-5.2,8.2,1.4
2021,2,16,화,약한눈비,-5.1,-7.0,-1.3,1.5
2021,2,17,수,맑음,-8.3,-10.4,-5.2,0.0
2021,2,18,목,맑음,-5.8,-10.6,-0.4,0.0
2021,2,19,금,맑음,1.6,-7.1,8.9,0.0
2021,2,20,토,맑음,8.8,5.5,14.9,0.0
2021,2,21,일,맑음,10.8,4.7,17.4,0.0
2021,2,22,월,맑음,7.8,0.4,12.6,0.0
2021,2,23,화,맑음,0.0,-3.1,4.3,0.0
2021,2,24,수,맑음,2.9,-3.0,10.1,0.0
2021,2,25,목,맑음,4.2,0.7,8.2,0.0
2021,2,26,금,맑음,8.2,0.5,15.8,0.0
2021,2,27,토,맑음,9.5,4.3,16.2,0.0
2021,2,28,일,맑음,7.8,3.2,10.8,0.0
2021,3,1,월,약한눈비,4.7,0.5,9.0,67.5
2021,3,2,화,약한눈비,2.3,0.2,6.9,0.1
2021,3,3,수,맑음,4.4,-1.2,9.9,0.0
2021,3,4,목,맑음,7.2,2.5,13.0,0.0
2021,3,5,금,맑음,9.0,3.0,16.2,0.0
2021,3,6,토,맑음,6.6,3.2,11.6,0.0
2021,3,7,일,맑음,6.2,2.1,12.2,0.0
2021,3,8,월,맑음,7.0,1.5,13.9,0.0
2021,3,9,화,맑음,6.6,2.1,12.2,0.0
2021,3,10,수,맑음,8.8,1.7,17.1,0.0
2021,3,11,목,맑음,10.2,4.7,17.1,0.0
2021,3,12,금,맑음,10.5,7.2,14.9,0.0
2021,3,13,토,맑음,9.2,4.6,14.2,0.0
2021,3,14,일,맑음,9.1,4.9,14.7,0.0
2021,3,15,월,약한눈비,10.6,5.1,15.7,1.7
2021,3,16,화,약한눈비,8.4,4.9,13.1,1.3
2021,3,17,수,맑음,8.8,1.8,17.5,0.0
2021,3,18,목,맑음,11.7,5.0,18.4,0.0
2021,3,19,금,맑음,15.3,11.4,20.2,0.0
2021,3,20,토,약한눈비,9.9,7.4,14.7,5.1
2021,3,21,일,약한눈비,5.8,3.1,8.6,0.3
2021,3,22,월,맑음,6.2,1.1,11.1,0.0
2021,3,23,화,맑음,9.1,2.5,16.4,0.0
2021,3,24,수,맑음,10.8,5.7,16.9,0.0
2021,3,25,목,맑음,11.9,6.8,19.0,0.0
2021,3,26,금,맑음,12.6,4.8,20.6,0.0
2021,3,27,토,약한눈비,12.1,10.2,15.0,25.5
2021,3,28,일,약한눈비,9.0,7.7,13.0,9.2
2021,3,29,월,약한눈비,10.2,7.3,14.6,0.2
2021,3,30,화,맑음,10.8,4.1,18.2,0.0
2021,3,31,수,맑음,14.5,5.9,22.9,0.0
2021,4,1,목,맑음,17.7,12.0,24.0,0.0
2021,4,2,금,맑음,17.8,12.5,23.0,0.0
2021,4,3,토,약한눈비,14.9,10.9,18.0,56.2
2021,4,4,일,약한눈비,11.9,9.0,15.8,0.6
2021,4,5,월,맑음,11.9,5.4,19.3,0.0
2021,4,6,화,맑음,13.9,9.4,19.2,0.0
2021,4,7,수,맑음,14.1,8.1,20.4,0.0
2021,4,8,목,맑음,13.0,7.2,18.0,0.0
2021,4,9,금,맑음,13.6,7.6,19.6,0.0
2021,4,10,토,맑음,12.6,7.7,18.8,0.0
2021,4,11,일,맑음,15.0,7.5,21.8,0.0
2021,4,12,월,약한눈비,13.8,11.9,17.8,22.0
2021,4,13,화,약한눈비,10.4,5.7,13.5,8.0
2021,4,14,수,맑음,8.4,3.1,13.3,0.0
2021,4,15,목,맑음,11.6,6.3,18.3,0.0
2021,4,16,금,약한눈비,11.3,8.1,14.8,0.7
2021,4,17,토,맑음,9.6,6.0,14.6,0.0
2021,4,18,일,맑음,9.9,5.6,15.3,0.0
2021,4,19,월,맑음,12.2,5.8,19.4,0.0
2021,4,20,화,맑음,14.8,8.1,22.0,0.0
2021,4,21,수,맑음,19.1,10.3,28.2,0.0
2021,4,22,목,맑음,20.9,16.1,27.5,0.0
2021,4,23,금,맑음,19.0,17.0,21.7,0.0
2021,4,24,토,맑음,18.3,15.3,22.2,0.0
2021,4,25,일,맑음,18.2,12.6,24.0,0.0
2021,4,26,월,맑음,16.2,12.3,20.6,0.0
2021,4,27,화,약한눈비,15.4,12.5,20.0,1.7
2021,4,28,수,약한눈비,14.5,11.2,18.2,4.7
2021,4,29,목,약한눈비,14.6,10.9,20.1,3.9
2021,4,30,금,약한눈비,11.3,8.6,14.6,26.3
2021,5,1,토,약한눈비,10.2,8.5,15.3,8.0
2021,5,2,일,약한눈비,12.4,7.3,18.7,1.7
2021,5,3,월,맑음,14.1,8.4,20.3,0.0
2021,5,4,화,약한눈비,13.8,11.4,15.8,19.6
2021,5,5,수,약한눈비,13.9,10.3,18.4,0.1
2021,5,6,목,맑음,15.7,7.9,23.1,0.0
2021,5,7,금,약한눈비,14.4,10.7,17.2,8.8
2021,5,8,토,맑음,14.3,8.9,21.0,0.0
2021,5,9,일,맑음,15.7,10.0,21.8,0.0
2021,5,10,월,맑음,13.2,11.7,14.6,0.0
2021,5,11,화,맑음,18.5,9.4,25.7,0.0
2021,5,12,수,맑음,22.0,16.9,27.7,0.0
2021,5,13,목,맑음,22.9,16.6,29.6,0.0
2021,5,14,금,맑음,24.1,18.0,30.8,0.0
2021,5,15,토,약한눈비,22.1,20.8,26.2,15.0
2021,5,16,일,약한눈비,18.4,14.8,20.8,66.9
2021,5,17,월,약한눈비,15.3,14.2,16.7,3.1
2021,5,18,화,맑음,17.9,13.6,24.5,0.0
2021,5,19,수,맑음,19.9,12.4,26.6,0.0
2021,5,20,목,약한눈비,18.7,15.6,22.9,0.9
2021,5,21,금,약한눈비,16.0,14.2,18.2,6.9
2021,5,22,토,약한눈비,18.6,13.8,23.8,0.2
2021,5,23,일,맑음,19.5,14.3,25.1,0.0
2021,5,24,월,맑음,19.4,16.4,24.5,0.0
2021,5,25,화,약한눈비,15.3,11.9,19.3,8.3
2021,5,26,수,맑음,18.0,11.5,23.0,0.0
2021,5,27,목,약한눈비,15.8,13.9,18.7,8.9
