STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
2530,공덕,05호선,평일,상행,3,9,12,19,15,11,9,10,9,9,9,9,10,17,11,9,9,9,6,3
2530,공덕,05호선,평일,하행,2,8,12,18,15,10,9,9,9,10,9,9,13,18,9,10,9,8,7,4
2530,공덕,05호선,토요일,상행,3,8,8,9,10,9,9,9,10,9,9,9,10,9,9,9,9,9,6,0
2530,공덕,05호선,토요일,하행,2,8,9,9,9,9,10,9,9,9,10,9,9,9,10,9,9,8,7,0
2530,공덕,05호선,휴일/일요일,상행,3,8,8,9,10,9,9,9,10,9,9,9,10,9,9,9,9,9,6,0
2530,공덕,05호선,휴일/일요일,하행,2,8,9,9,9,9,10,9,9,9,10,9,9,9,10,9,9,8,7,0
2535,종로3가,05호선,평일,상행,3,9,13,20,14,10,10,9,9,9,10,9,10,17,10,10,9,8,6,3
2535,종로3가,05호선,평일,하행,1,9,11,17,16,10,9,10,9,9,9,10,11,19,10,9,9,9,7,4
2535,종로3가,05호선,토요일,상행,3,8,9,9,9,9,10,9,9,9,9,10,9,9,9,10,9,8,6,0
2535,종로3가,05호선,토요일,하행,1,9,8,10,9,9,9,9,10,9,9,9,10,9,9,9,10,8,7,0
2535,종로3가,05호선,휴일/일요일,상행,3,8,9,9,9,9,10,9,9,9,9,10,9,9,9,10,9,8,6,0
2535,종로3가,05호선,휴일/일요일,하행,1,9,8,10,9,9,9,9,10,9,9,9,10,9,9,9,10,8,7,0
2557,방이,05호선,평일,상행,2,6,8,8,6,5,4,5,4,5,5,4,8,6,5,5,4,4,3,1
2557,방이,05호선,평일,하행,3,6,8,8,9,7,4,5,5,4,5,4,9,8,9,4,5,4,4,3
2557,방이,05호선,토요일,상행,2,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,3,3,0
2557,방이,05호선,토요일,하행,2,5,4,4,6,5,4,5,4,5,5,4,6,5,4,5,4,5,4,0
2557,방이,05호선,휴일/일요일,상행,2,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,3,3,0
2557,방이,05호선,휴일/일요일,하행,2,5,4,4,6,5,4,5,4,5,5,4,6,5,4,5,4,5,4,0
2558,오금,05호선,평일,상행,2,6,9,7,6,5,4,5,5,4,5,4,8,7,4,5,4,4,3,1
2558,오금,05호선,평일,하행,3,6,8,8,9,6,5,5,4,5,5,4,9,8,8,5,5,4,4,3
2558,오금,05호선,토요일,상행,2,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,4,2,0
2558,오금,05호선,토요일,하행,2,5,4,4,6,4,5,5,4,5,5,4,6,4,5,5,4,5,4,0
2558,오금,05호선,휴일/일요일,상행,2,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,4,2,0
2558,오금,05호선,휴일/일요일,하행,2,5,4,4,6,4,5,5,4,5,5,4,6,4,5,5,4,5,4,0
2513,김포공항,05호선,평일,상행,1,6,11,14,20,12,10,9,10,9,9,9,10,12,16,9,9,9,8,5
2513,김포공항,05호선,평일,하행,4,11,15,17,12,9,9,9,9,10,9,10,17,13,9,10,8,8,6,2
2513,김포공항,05호선,토요일,상행,1,6,8,9,10,9,9,9,10,9,9,9,9,10,9,9,9,10,7,1
2513,김포공항,05호선,토요일,하행,4,9,9,9,9,10,9,9,9,9,10,9,9,9,10,9,9,7,4,0
2513,김포공항,05호선,휴일/일요일,상행,1,6,8,9,10,9,9,9,10,9,9,9,9,10,9,9,9,10,7,1
2513,김포공항,05호선,휴일/일요일,하행,4,9,9,9,9,10,9,9,9,9,10,9,9,9,10,9,9,7,4,0
2517,우장산,05호선,평일,상행,1,8,11,14,20,12,10,9,9,9,9,10,9,13,15,9,10,9,7,4
2517,우장산,05호선,평일,하행,3,10,14,18,12,9,10,9,9,9,10,9,16,15,9,9,9,8,6,3
2517,우장산,05호선,토요일,상행,1,7,9,9,9,9,9,10,9,9,9,10,9,9,9,9,10,9,7,0
2517,우장산,05호선,토요일,하행,3,8,10,9,9,9,9,10,9,9,9,10,9,9,9,10,9,7,5,0
2517,우장산,05호선,휴일/일요일,상행,1,7,9,9,9,9,9,10,9,9,9,10,9,9,9,9,10,9,7,0
2517,우장산,05호선,휴일/일요일,하행,3,8,10,9,9,9,9,10,9,9,9,10,9,9,9,10,9,7,5,0
2515,마곡,05호선,평일,상행,1,7,11,14,20,12,10,9,9,10,9,9,9,13,15,10,9,9,8,4
2515,마곡,05호선,평일,하행,4,10,14,18,12,9,9,9,10,9,9,10,17,14,9,9,9,7,6,3
2515,마곡,05호선,토요일,상행,1,6,9,9,9,10,9,9,9,9,10,9,9,9,10,9,9,9,7,1
2515,마곡,05호선,토요일,하행,3,9,9,9,10,9,9,9,10,9,9,9,9,10,9,9,9,7,5,0
2515,마곡,05호선,휴일/일요일,상행,1,6,9,9,9,10,9,9,9,9,10,9,9,9,10,9,9,9,7,1
2515,마곡,05호선,휴일/일요일,하행,3,9,9,9,10,9,9,9,10,9,9,9,9,10,9,9,9,7,5,0
2526,신길,05호선,평일,상행,3,8,12,17,18,11,9,9,10,9,9,9,9,16,13,9,9,9,6,3
2526,신길,05호선,평일,하행,3,9,12,18,14,10,9,9,10,9,9,9,14,17,10,9,9,8,7,3
2526,신길,05호선,토요일,상행,3,7,9,9,9,10,9,9,9,10,9,9,9,10,9,9,9,9,6,0
2526,신길,05호선,토요일,하행,3,8,9,9,9,10,9,9,9,10,9,9,9,10,9,9,9,8,6,0
2526,신길,05호선,휴일/일요일,상행,3,7,9,9,9,10,9,9,9,10,9,9,9,10,9,9,9,9,6,0
2526,신길,05호선,휴일/일요일,하행,3,8,9,9,9,10,9,9,9,10,9,9,9,10,9,9,9,8,6,0
2519,까치산,05호선,평일,상행,2,7,11,15,20,12,9,9,10,9,9,9,10,13,15,9,9,9,7,4
2519,까치산,05호선,평일,하행,4,10,14,18,13,9,9,9,9,10,9,9,16,15,10,9,9,7,7,2
2519,까치산,05호선,토요일,상행,2,7,8,9,10,9,9,9,9,10,9,9,9,10,9,9,9,9,7,1
2519,까치산,05호선,토요일,하행,4,9,9,9,9,10,9,9,9,10,9,9,9,9,10,9,9,7,5,0
2519,까치산,05호선,휴일/일요일,상행,2,7,8,9,10,9,9,9,9,10,9,9,9,10,9,9,9,9,7,1
