STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
0336,학여울,03호선,평일,상행,100,240,300,300,240,180,180,140,180,140,180,180,240,260,220,220,200,160,100,60
0336,학여울,03호선,평일,하행,20,120,220,320,300,240,160,180,160,160,180,140,200,260,280,240,220,160,140,120
0336,학여울,03호선,토요일,상행,100,200,200,200,200,200,200,200,200,220,200,200,180,200,180,180,160,140,80,0
0336,학여울,03호선,토요일,하행,20,120,200,180,200,200,200,180,220,200,200,200,200,200,200,200,200,160,160,0
0336,학여울,03호선,휴일/일요일,상행,100,200,200,200,200,200,200,200,200,220,200,200,180,200,180,180,160,140,80,0
0336,학여울,03호선,휴일/일요일,하행,20,120,200,180,200,200,200,180,220,200,200,200,200,200,200,200,200,160,160,0
0310,구파발,03호선,평일,상행,20,140,260,300,280,240,180,160,160,180,140,180,180,240,260,240,220,180,140,120
0310,구파발,03호선,평일,하행,20,120,160,200,140,140,120,140,120,120,120,120,160,160,120,140,140,100,100,40
0310,구파발,03호선,토요일,상행,20,140,200,200,200,200,200,200,200,200,220,200,200,180,200,180,180,160,140,20
0310,구파발,03호선,토요일,하행,0,100,100,140,120,120,120,100,120,100,100,100,100,140,100,120,140,100,80,0
0310,구파발,03호선,휴일/일요일,상행,20,140,200,200,200,200,200,200,200,200,220,200,200,180,200,180,180,160,140,20
0310,구파발,03호선,휴일/일요일,하행,0,100,100,140,120,120,120,100,120,100,100,100,100,140,100,120,140,100,80,0
0319,종로3가,03호선,평일,상행,40,200,280,320,240,220,180,140,180,160,140,200,200,260,240,220,220,180,140,80
0319,종로3가,03호선,평일,하행,60,180,260,320,280,180,180,180,140,180,160,140,260,300,240,240,160,160,120,100
0319,종로3가,03호선,토요일,상행,40,180,200,200,200,200,200,200,200,220,200,200,200,180,200,180,180,140,140,0
0319,종로3가,03호선,토요일,하행,60,160,200,200,200,200,180,200,220,200,200,200,200,200,200,200,160,160,120,0
0319,종로3가,03호선,휴일/일요일,상행,40,180,200,200,200,200,200,200,200,220,200,200,200,180,200,180,180,140,140,0
0319,종로3가,03호선,휴일/일요일,하행,60,160,200,200,200,200,180,200,220,200,200,200,200,200,200,200,160,160,120,0
0339,수서,03호선,평일,상행,60,120,220,260,240,180,160,160,180,140,180,140,180,240,220,220,200,140,120,40
0339,수서,03호선,평일,하행,20,100,220,280,320,240,180,180,180,140,180,140,200,260,280,240,220,160,160,100
0339,수서,03호선,토요일,상행,60,140,200,200,180,200,200,180,200,220,200,200,180,200,180,180,160,140,60,0
0339,수서,03호선,토요일,하행,20,100,200,180,200,200,200,180,220,200,200,200,200,200,200,200,200,160,160,20
0339,수서,03호선,휴일/일요일,상행,60,140,200,200,180,200,200,180,200,220,200,200,180,200,180,180,160,140,60,0
0339,수서,03호선,휴일/일요일,하행,20,100,200,180,200,200,200,180,220,200,200,200,200,200,200,200,200,160,160,20
