STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
0244,용답,02호선,평일,상행,2,4,8,7,5,6,6,6,6,6,5,6,6,7,7,6,5,6,5,4
0244,용답,02호선,평일,하행,2,4,7,8,5,6,6,6,6,6,5,6,6,7,7,5,6,6,5,4
0244,용답,02호선,토요일,상행,2,4,5,6,6,6,6,6,5,6,6,6,6,6,6,5,6,5,6,0
0244,용답,02호선,토요일,하행,2,4,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,5,6,0
0244,용답,02호선,휴일/일요일,상행,2,4,5,6,6,6,6,6,5,6,6,6,6,6,6,5,6,5,6,0
0244,용답,02호선,휴일/일요일,하행,2,4,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,5,6,0
0245,신답,02호선,평일,상행,2,5,7,7,6,5,6,6,6,6,6,5,6,7,7,6,5,6,5,4
0245,신답,02호선,평일,하행,2,4,7,8,5,6,6,6,6,5,6,6,5,7,8,5,6,5,6,4
0245,신답,02호선,토요일,상행,2,4,5,6,6,6,6,6,6,5,7,5,6,6,6,6,5,6,5,0
0245,신답,02호선,토요일,하행,2,4,5,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,6,0
0245,신답,02호선,휴일/일요일,상행,2,4,5,6,6,6,6,6,6,5,7,5,6,6,6,6,5,6,5,0
0245,신답,02호선,휴일/일요일,하행,2,4,5,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,6,0
0250,용두,02호선,평일,상행,2,5,7,7,6,6,5,6,6,6,6,5,6,8,6,6,5,6,5,4
0250,용두,02호선,평일,하행,2,4,7,7,6,6,6,5,6,6,6,6,5,7,8,5,6,5,6,4
0250,용두,02호선,토요일,상행,2,4,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,5,5,0
0250,용두,02호선,토요일,하행,2,4,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5,6,0
0250,용두,02호선,휴일/일요일,상행,2,4,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,5,5,0
0250,용두,02호선,휴일/일요일,하행,2,4,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5,6,0
0248,양천구청,02호선,평일,상행,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5
0248,양천구청,02호선,평일,하행,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5
0248,양천구청,02호선,토요일,상행,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,0
0248,양천구청,02호선,토요일,하행,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,0
0248,양천구청,02호선,휴일/일요일,상행,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,0
0248,양천구청,02호선,휴일/일요일,하행,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,0
0216,잠실,02호선,평일,상행,3,12,17,17,16,14,11,10,10,10,10,12,14,19,18,13,10,11,9,4
0216,잠실,02호선,평일,하행,2,9,14,22,19,17,12,10,12,11,12,11,14,17,15,12,9,9,7,5
0216,잠실,02호선,토요일,상행,3,10,11,11,12,12,10,12,12,11,12,12,13,11,10,11,10,9,5,0
0216,잠실,02호선,토요일,하행,2,9,10,11,13,11,12,11,11,12,11,11,11,11,11,10,10,10,7,0
0216,잠실,02호선,휴일/일요일,상행,3,10,11,11,12,12,10,12,12,11,12,12,13,11,10,11,10,9,5,0
0216,잠실,02호선,휴일/일요일,하행,2,9,10,11,13,11,12,11,11,12,11,11,11,11,11,10,10,10,7,0
0249,신정네거리,02호선,평일,상행,2,4,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,5
0249,신정네거리,02호선,평일,하행,2,4,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,4
0249,신정네거리,02호선,토요일,상행,2,4,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,0
0249,신정네거리,02호선,토요일,하행,2,4,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,0
0249,신정네거리,02호선,휴일/일요일,상행,2,4,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,0
0249,신정네거리,02호선,휴일/일요일,하행,2,4,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,0
0233,대림,02호선,평일,상행,1,8,14,17,18,15,13,10,10,10,10,10,12,17,19,17,12,10,9,8
0233,대림,02호선,평일,하행,5,12,19,22,18,12,11,12,11,11,12,12,16,16,13,11,8,9,6,3
0233,대림,02호선,토요일,상행,2,7,10,11,11,12,12,11,11,12,12,12,12,12,11,11,10,10,8,0
0233,대림,02호선,토요일,하행,5,10,11,11,12,12,11,12,11,11,12,10,12,10,11,10,10,8,5,0
0233,대림,02호선,휴일/일요일,상행,2,7,10,11,11,12,12,11,11,12,12,12,12,12,11,11,10,10,8,0
0233,대림,02호선,휴일/일요일,하행,5,10,11,11,12,12,11,12,11,11,12,10,12,10,11,10,10,8,5,0
