STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
1804,부천,01호선,평일,하행,140,300,360,280,280,180,180,160,160,200,200,240,280,300,320,260,260,180,180,0
1804,부천,01호선,토요일,상행,100,200,160,180,200,200,200,200,220,200,220,200,180,240,200,220,200,180,140,20
1804,부천,01호선,토요일,하행,60,180,180,200,180,220,180,220,220,200,200,220,200,220,240,180,200,160,200,0
1804,부천,01호선,휴일/일요일,상행,100,200,160,180,200,200,200,200,220,200,220,200,180,240,200,220,200,180,140,20
1804,부천,01호선,휴일/일요일,하행,60,180,180,200,180,220,180,220,220,200,200,220,200,220,240,180,200,160,200,0
1404,탕정,01호선,평일,상행,40,40,40,60,20,60,40,40,60,40,40,40,40,40,60,40,40,60,40,0
1404,탕정,01호선,평일,하행,20,60,40,40,40,60,40,40,60,40,40,40,40,40,60,40,40,40,40,20
1404,탕정,01호선,토요일,상행,40,20,40,40,20,20,40,40,40,60,20,40,40,40,60,20,40,60,40,0
1404,탕정,01호선,토요일,하행,0,40,40,20,40,40,20,60,40,40,40,20,60,20,60,40,40,40,40,0
1404,탕정,01호선,휴일/일요일,상행,40,20,40,40,20,20,40,40,40,60,20,40,40,40,60,20,40,60,40,0
1404,탕정,01호선,휴일/일요일,하행,0,40,40,20,40,40,20,60,40,40,40,20,60,20,60,40,40,40,40,0
1812,인천,01호선,평일,하행,40,120,140,140,100,140,100,120,120,140,120,140,140,120,140,140,120,140,80,80
1812,인천,01호선,토요일,하행,20,100,100,120,100,120,100,120,120,140,120,120,100,120,120,140,120,120,120,60
1812,인천,01호선,휴일/일요일,하행,20,100,100,120,100,120,100,120,120,140,120,120,100,120,120,140,120,120,120,60
1021,녹천,01호선,평일,상행,140,160,180,140,100,100,120,100,100,120,100,140,160,160,140,120,120,120,80,20
1021,녹천,01호선,평일,하행,80,100,180,140,180,140,100,100,120,100,120,100,120,140,140,140,140,140,120,60
1021,녹천,01호선,토요일,상행,120,120,100,120,100,120,100,120,120,140,100,140,120,120,140,100,140,100,80,20
1021,녹천,01호선,토요일,하행,40,100,120,120,120,100,120,120,100,120,140,120,120,120,120,120,100,140,140,40
1021,녹천,01호선,휴일/일요일,상행,120,120,100,120,100,120,100,120,120,140,100,140,120,120,140,100,140,100,80,20
1021,녹천,01호선,휴일/일요일,하행,40,100,120,120,120,100,120,120,100,120,140,120,120,120,120,120,100,140,140,40
1814,소사,01호선,평일,상행,80,120,160,140,120,140,120,120,120,120,120,160,160,160,120,140,120,120,100,20
1814,소사,01호선,평일,하행,100,140,140,140,160,120,100,140,100,140,120,140,140,140,140,140,120,120,100,0
1814,소사,01호선,토요일,상행,80,100,120,100,120,100,120,120,120,120,140,100,100,140,120,120,120,120,100,20
1814,소사,01호선,토요일,하행,60,120,100,120,120,100,100,140,100,140,100,120,120,120,140,120,140,100,120,0
1814,소사,01호선,휴일/일요일,상행,80,100,120,100,120,100,120,120,120,120,140,100,100,140,120,120,120,120,100,20
1814,소사,01호선,휴일/일요일,하행,60,120,100,120,120,100,100,140,100,140,100,120,120,120,140,120,140,100,120,0
1816,간석,01호선,평일,상행,100,120,160,140,120,120,120,120,120,120,140,120,120,160,140,120,120,120,80,0
1816,간석,01호선,평일,하행,60,140,140,120,100,140,120,120,120,120,120,160,140,120,140,120,140,120,100,40
1816,간석,01호선,토요일,상행,80,120,120,100,120,100,120,120,120,120,140,100,100,140,100,120,140,120,80,0
1816,간석,01호선,토요일,하행,40,100,100,120,120,100,120,120,120,120,120,120,120,120,120,140,120,100,120,40
1816,간석,01호선,휴일/일요일,상행,80,120,120,100,120,100,120,120,120,120,140,100,100,140,100,120,140,120,80,0
1816,간석,01호선,휴일/일요일,하행,40,100,100,120,120,100,120,120,120,120,120,120,120,120,120,140,120,100,120,40
1803,역곡,01호선,평일,상행,120,240,340,320,280,240,200,180,180,140,200,220,260,300,300,320,260,220,140,20
1803,역곡,01호선,평일,하행,160,300,340,300,260,200,180,180,140,180,220,240,280,300,300,300,240,200,140,0
1803,역곡,01호선,토요일,상행,120,180,180,180,160,220,200,220,220,200,200,200,200,220,220,180,220,200,120,20
1803,역곡,01호선,토요일,하행,80,180,180,180,200,200,220,200,220,180,220,220,220,180,240,200,200,180,160,0
1803,역곡,01호선,휴일/일요일,상행,120,180,180,180,160,220,200,220,220,200,200,200,200,220,220,180,220,200,120,20
1803,역곡,01호선,휴일/일요일,하행,80,180,180,180,200,200,220,200,220,180,220,220,220,180,240,200,200,180,160,0
1805,송내,01호선,평일,상행,140,240,360,320,260,240,200,160,180,140,200,240,260,320,300,300,260,220,120,20
1805,송내,01호선,평일,하행,120,300,340,300,280,200,160,180,160,200,180,240,280,280,320,300,240,200,160,20
1805,송내,01호선,토요일,상행,100,200,200,160,200,180,220,200,220,200,200,220,200,220,220,180,200,200,140,0
