STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
0428,삼각지,04호선,평일,상행,40,200,320,340,260,240,240,220,220,200,240,220,260,320,340,280,300,160,160,80
0428,삼각지,04호선,평일,하행,20,240,320,300,300,240,220,220,200,220,220,220,300,340,320,300,260,180,160,60
0428,삼각지,04호선,토요일,상행,40,160,200,200,220,200,240,240,260,260,260,260,260,220,200,200,200,180,100,0
0428,삼각지,04호선,토요일,하행,20,200,200,200,200,200,200,240,260,260,260,260,240,220,220,240,200,180,100,0
0428,삼각지,04호선,휴일/일요일,상행,40,160,200,200,220,200,240,240,260,260,260,260,260,220,200,200,200,180,100,0
0428,삼각지,04호선,휴일/일요일,하행,20,200,200,200,200,200,200,240,260,260,260,260,240,220,220,240,200,180,100,0
0429,신용산,04호선,평일,상행,40,200,320,360,260,240,220,220,220,200,240,220,260,340,320,280,300,180,160,60
0429,신용산,04호선,평일,하행,20,240,300,320,280,260,220,220,200,220,220,220,280,340,320,320,240,200,160,60
0429,신용산,04호선,토요일,상행,40,160,200,200,220,220,220,260,260,240,260,260,260,220,200,200,200,180,100,0
0429,신용산,04호선,토요일,하행,20,180,200,200,200,200,200,260,260,260,260,260,240,200,220,240,200,200,100,0
0429,신용산,04호선,휴일/일요일,상행,40,160,200,200,220,220,220,260,260,240,260,260,260,220,200,200,200,180,100,0
0429,신용산,04호선,휴일/일요일,하행,20,180,200,200,200,200,200,260,260,260,260,260,240,200,220,240,200,200,100,0
0412,창동,04호선,평일,상행,0,120,260,360,320,220,260,220,200,220,220,240,220,300,340,300,280,260,160,140
0412,창동,04호선,평일,하행,120,220,340,300,260,220,200,220,220,220,200,240,300,320,320,280,200,160,100,40
0412,창동,04호선,토요일,상행,0,120,180,200,220,200,220,240,260,260,260,260,260,220,220,200,200,200,160,20
0412,창동,04호선,토요일,하행,100,200,200,200,200,200,240,260,260,260,260,240,220,220,240,200,220,120,60,0
0412,창동,04호선,휴일/일요일,상행,0,120,180,200,220,200,220,240,260,260,260,260,260,220,220,200,200,200,160,20
0412,창동,04호선,휴일/일요일,하행,100,200,200,200,200,200,240,260,260,260,260,240,220,220,240,200,220,120,60,0
0417,길음,04호선,평일,상행,20,140,280,360,300,240,240,220,200,220,220,240,220,320,340,300,300,200,160,120
0417,길음,04호선,평일,하행,80,280,320,300,260,260,200,200,220,220,220,220,340,340,320,280,240,160,120,60
0417,길음,04호선,토요일,상행,20,120,200,200,220,200,220,240,260,260,260,260,260,240,200,200,200,200,140,0
0417,길음,04호선,토요일,하행,60,200,200,200,200,200,220,260,260,260,260,260,220,220,220,220,200,160,80,0
0417,길음,04호선,휴일/일요일,상행,20,120,200,200,220,200,220,240,260,260,260,260,260,240,200,200,200,200,140,0
0417,길음,04호선,휴일/일요일,하행,60,200,200,200,200,200,220,260,260,260,260,260,220,220,220,220,200,160,80,0
1450,선바위,04호선,평일,상행,40,140,180,220,120,120,100,120,120,120,120,120,160,160,160,140,160,80,80,20
1450,선바위,04호선,평일,하행,20,100,140,200,180,120,120,120,100,140,100,120,140,160,180,140,160,140,80,20
1450,선바위,04호선,토요일,상행,20,100,120,120,120,100,140,160,140,140,140,160,140,120,100,120,100,80,60,0
1450,선바위,04호선,토요일,하행,20,80,120,120,100,100,100,140,140,140,140,160,140,120,120,140,120,100,60,20
1450,선바위,04호선,휴일/일요일,상행,20,100,120,120,120,100,140,160,140,140,140,160,140,120,100,120,100,80,60,0
1450,선바위,04호선,휴일/일요일,하행,20,80,120,120,100,100,100,140,140,140,140,160,140,120,120,140,120,100,60,20
1452,대공원,04호선,평일,상행,40,140,200,200,120,120,100,140,100,120,120,140,140,180,160,140,140,80,80,20
1452,대공원,04호선,평일,하행,20,100,140,180,180,140,120,100,120,120,120,120,120,160,180,160,160,120,100,20
1452,대공원,04호선,토요일,상행,20,120,120,100,120,120,140,140,140,160,140,140,140,140,100,100,100,80,60,0
1452,대공원,04호선,토요일,하행,20,80,100,120,100,120,100,120,140,160,140,140,140,120,140,120,120,120,60,20
1452,대공원,04호선,휴일/일요일,상행,20,120,120,100,120,120,140,140,140,160,140,140,140,140,100,100,100,80,60,0
1452,대공원,04호선,휴일/일요일,하행,20,80,100,120,100,120,100,120,140,160,140,140,140,120,140,120,120,120,60,20
1455,인덕원,04호선,평일,상행,60,140,200,200,120,120,100,120,120,120,120,140,160,160,160,140,120,100,60,20
1455,인덕원,04호선,평일,하행,0,100,140,180,180,140,120,100,120,120,120,100,140,160,180,160,160,140,80,40
1455,인덕원,04호선,토요일,상행,40,100,120,140,100,120,140,140,160,140,140,140,140,120,100,120,100,80,40,0
1455,인덕원,04호선,토요일,하행,0,80,100,140,100,100,100,120,140,160,140,140,140,140,120,120,140,100,80,20
1455,인덕원,04호선,휴일/일요일,상행,40,100,120,140,100,120,140,140,160,140,140,140,140,120,100,120,100,80,40,0
1455,인덕원,04호선,휴일/일요일,하행,0,80,100,140,100,100,100,120,140,160,140,140,140,140,120,120,140,100,80,20
1456,평촌,04호선,평일,상행,60,160,180,200,120,120,120,100,120,120,120,140,160,160,160,160,100,100,60,20
1456,평촌,04호선,평일,하행,0,100,140,180,180,140,120,100,120,120,120,100,140,160,180,140,160,140,100,40
1456,평촌,04호선,토요일,상행,40,100,120,140,100,120,140,140,160,140,140,140,140,120,100,120,100,80,40,0
1456,평촌,04호선,토요일,하행,0,80,100,120,100,120,100,120,140,140,140,160,140,120,140,120,120,120,80,20
1456,평촌,04호선,휴일/일요일,상행,40,100,120,140,100,120,140,140,160,140,140,140,140,120,100,120,100,80,40,0
1456,평촌,04호선,휴일/일요일,하행,0,80,100,120,100,120,100,120,140,140,140,160,140,120,140,120,120,120,80,20
0415,미아,04호선,평일,상행,20,120,280,360,300,240,240,220,200,220,220,240,220,320,320,320,280,240,160,120
0415,미아,04호선,평일,하행,100,280,340,280,280,240,200,200,220,240,200,220,340,340,320,280,220,180,100,60
0415,미아,04호선,토요일,상행,20,120,200,200,200,220,200,240,260,260,260,260,260,240,200,200,200,200,160,0
0415,미아,04호선,토요일,하행,80,200,200,200,200,200,220,260,260,260,260,260,220,220,220,220,220,140,60,0
0415,미아,04호선,휴일/일요일,상행,20,120,200,200,200,220,200,240,260,260,260,260,260,240,200,200,200,200,160,0
0415,미아,04호선,휴일/일요일,하행,80,200,200,200,200,200,220,260,260,260,260,260,220,220,220,220,220,140,60,0
0425,회현,04호선,평일,상행,40,200,300,340,280,240,240,220,200,220,220,240,240,340,320,300,280,200,160,80
0425,회현,04호선,평일,하행,40,260,320,300,280,260,200,220,200,220,220,220,300,340,320,320,240,200,120,80
0425,회현,04호선,토요일,상행,40,160,200,200,220,200,220,260,260,240,260,260,260,240,200,200,200,180,120,0
0425,회현,04호선,토요일,하행,40,200,200,200,200,200,200,260,260,260,260,260,240,200,220,240,200,180,100,0
0425,회현,04호선,휴일/일요일,상행,40,160,200,200,220,200,220,260,260,240,260,260,260,240,200,200,200,180,120,0
0425,회현,04호선,휴일/일요일,하행,40,200,200,200,200,200,200,260,260,260,260,260,240,200,220,240,200,180,100,0
1458,금정,04호선,평일,상행,80,140,200,200,120,100,120,120,120,120,120,120,180,160,160,160,100,80,80,40
1458,금정,04호선,평일,하행,0,80,140,180,180,140,120,120,120,100,120,120,120,160,180,160,140,160,100,40
1458,금정,04호선,토요일,상행,60,100,120,120,100,140,140,140,140,140,160,140,140,120,100,100,100,80,60,20
1458,금정,04호선,토요일,하행,0,60,100,140,100,100,100,120,140,160,140,140,140,140,120,120,140,100,80,40
1458,금정,04호선,휴일/일요일,상행,60,100,120,120,100,140,140,140,140,140,160,140,140,120,100,100,100,80,60,20
1458,금정,04호선,휴일/일요일,하행,0,60,100,140,100,100,100,120,140,160,140,140,140,140,120,120,140,100,80,40
0421,동대문,04호선,평일,상행,40,160,280,360,300,240,240,220,200,220,200,260,220,320,340,300,300,200,140,100
0421,동대문,04호선,평일,하행,60,260,340,300,260,260,200,220,200,240,200,220,320,340,320,300,240,180,140,60
0421,동대문,04호선,토요일,상행,40,140,200,200,220,200,220,240,260,260,260,260,260,240,200,200,200,180,140,0
0421,동대문,04호선,토요일,하행,60,200,200,200,200,200,200,260,260,260,260,260,240,200,220,240,200,160,100,0
0421,동대문,04호선,휴일/일요일,상행,40,140,200,200,220,200,220,240,260,260,260,260,260,240,200,200,200,180,140,0
0421,동대문,04호선,휴일/일요일,하행,60,200,200,200,200,200,200,260,260,260,260,260,240,200,220,240,200,160,100,0
0405,진접,04호선,평일,상행,20,80,120,100,100,80,60,100,80,80,80,80,80,100,80,80,60,80,40,80
0405,진접,04호선,토요일,상행,20,60,60,60,80,60,60,80,60,80,60,60,60,80,60,60,60,60,60,0
