STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
2620,월드컵경기장,06호선,평일,상행,60,160,260,300,200,160,140,160,160,140,160,140,200,220,200,160,140,140,140,80
2620,월드컵경기장,06호선,평일,하행,60,140,220,300,240,160,160,160,140,160,140,160,180,200,200,180,160,140,120,100
2620,월드컵경기장,06호선,토요일,상행,60,140,140,140,140,160,140,140,140,140,140,140,140,140,140,160,120,120,100,0
2620,월드컵경기장,06호선,토요일,하행,60,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,100,0
2620,월드컵경기장,06호선,휴일/일요일,상행,60,140,140,140,140,160,140,140,140,140,140,140,140,140,140,160,120,120,100,0
2620,월드컵경기장,06호선,휴일/일요일,하행,60,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,100,0
2640,안암,06호선,평일,상행,80,200,300,260,160,140,160,160,140,160,140,180,200,220,180,140,160,120,120,60
2640,안암,06호선,평일,하행,40,100,180,260,300,200,140,160,160,140,160,140,160,200,200,200,160,160,140,100
2640,안암,06호선,토요일,상행,60,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,120,100,20
2640,안암,06호선,토요일,하행,40,100,160,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,100,20
2640,안암,06호선,휴일/일요일,상행,60,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,120,100,20
2640,안암,06호선,휴일/일요일,하행,40,100,160,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,100,20
2625,광흥창,06호선,평일,상행,80,180,260,300,180,160,140,160,160,140,160,160,200,200,200,160,140,140,120,80
2625,광흥창,06호선,평일,하행,40,140,200,300,260,160,160,140,160,140,160,160,160,200,220,180,160,140,140,100
2625,광흥창,06호선,토요일,상행,80,140,140,140,140,160,140,140,140,140,140,140,140,140,140,160,120,100,100,0
2625,광흥창,06호선,토요일,하행,40,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,120,0
2625,광흥창,06호선,휴일/일요일,상행,80,140,140,140,140,160,140,140,140,140,140,140,140,140,140,160,120,100,100,0
2625,광흥창,06호선,휴일/일요일,하행,40,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,120,0
2626,대흥,06호선,평일,상행,60,180,260,300,200,140,160,140,160,140,160,160,200,220,180,160,140,140,140,60
2626,대흥,06호선,평일,하행,40,140,200,280,260,180,160,140,160,140,160,140,180,200,220,180,160,140,120,120
2626,대흥,06호선,토요일,상행,60,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,120,100,120,0
2626,대흥,06호선,토요일,하행,40,140,140,140,140,140,140,140,140,140,160,140,140,140,140,140,140,120,100,20
2626,대흥,06호선,휴일/일요일,상행,60,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,120,100,120,0
2626,대흥,06호선,휴일/일요일,하행,40,140,140,140,140,140,140,140,140,140,160,140,140,140,140,140,140,120,100,20
2630,녹사평,06호선,평일,상행,60,200,260,300,180,140,160,140,160,140,160,160,200,220,180,160,140,140,140,60
2630,녹사평,06호선,평일,하행,40,140,180,280,280,180,160,140,160,140,160,140,160,200,220,180,180,140,140,80
2630,녹사평,06호선,토요일,상행,60,140,140,160,140,140,140,140,140,140,140,140,140,160,140,140,120,100,100,20
2630,녹사평,06호선,토요일,하행,40,140,140,140,140,140,140,140,140,140,160,140,140,140,140,140,140,120,120,0
2630,녹사평,06호선,휴일/일요일,상행,60,140,140,160,140,140,140,140,140,140,140,140,140,160,140,140,120,100,100,20
2630,녹사평,06호선,휴일/일요일,하행,40,140,140,140,140,140,140,140,140,140,160,140,140,140,140,140,140,120,120,0
2612,역촌,06호선,평일,하행,60,160,220,300,220,160,140,160,140,160,140,160,200,200,200,180,140,140,140,80
2612,역촌,06호선,토요일,하행,60,140,140,140,140,140,160,140,140,140,140,140,140,140,140,140,140,120,100,0
2612,역촌,06호선,휴일/일요일,하행,60,140,140,140,140,140,160,140,140,140,140,140,140,140,140,140,140,120,100,0
2623,합정,06호선,평일,상행,80,160,260,300,200,160,140,160,140,160,140,160,200,220,180,180,140,140,120,80
2623,합정,06호선,평일,하행,40,160,200,300,240,180,140,160,140,160,160,140,180,200,220,160,160,140,140,100
2623,합정,06호선,토요일,상행,80,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,100,100,0
2623,합정,06호선,토요일,하행,40,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,120,0
2623,합정,06호선,휴일/일요일,상행,80,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,100,100,0
2623,합정,06호선,휴일/일요일,하행,40,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,120,0
2643,상월곡,06호선,평일,상행,80,200,300,260,160,140,160,140,160,140,160,180,200,220,160,160,140,120,120,80
2643,상월곡,06호선,평일,하행,40,120,160,260,300,200,160,140,160,140,160,160,140,200,200,200,180,140,140,120
2643,상월곡,06호선,토요일,상행,60,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,100,120,0
2643,상월곡,06호선,토요일,하행,40,120,140,140,140,140,140,160,140,140,140,140,140,140,140,140,160,140,100,0
2643,상월곡,06호선,휴일/일요일,상행,60,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,100,120,0
2643,상월곡,06호선,휴일/일요일,하행,40,120,140,140,140,140,140,160,140,140,140,140,140,140,140,140,160,140,100,0
2644,돌곶이,06호선,평일,상행,80,220,300,240,160,140,160,140,160,160,140,180,200,220,180,140,140,140,100,80
2644,돌곶이,06호선,평일,하행,40,100,180,240,300,220,160,140,160,140,160,140,160,180,220,200,180,140,140,120
2644,돌곶이,06호선,토요일,상행,60,140,140,140,140,160,140,140,140,140,140,140,140,140,160,140,100,100,120,0
2644,돌곶이,06호선,토요일,하행,40,120,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,0
2644,돌곶이,06호선,휴일/일요일,상행,60,140,140,140,140,160,140,140,140,140,140,140,140,140,160,140,100,100,120,0
2644,돌곶이,06호선,휴일/일요일,하행,40,120,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,0
2645,석계,06호선,평일,상행,80,220,300,240,160,160,140,160,140,160,140,200,200,200,180,140,160,120,100,80
2645,석계,06호선,평일,하행,40,100,160,260,300,220,140,160,140,160,160,140,160,180,200,220,160,160,140,120
2645,석계,06호선,토요일,상행,60,140,160,140,140,140,140,140,140,140,140,140,160,140,140,140,100,100,120,0
2645,석계,06호선,토요일,하행,40,100,160,140,140,140,140,140,140,140,140,160,140,140,140,140,140,140,100,20
2645,석계,06호선,휴일/일요일,상행,60,140,160,140,140,140,140,140,140,140,140,140,160,140,140,140,100,100,120,0
2645,석계,06호선,휴일/일요일,하행,40,100,160,140,140,140,140,140,140,140,140,160,140,140,140,140,140,140,100,20
2647,화랑대,06호선,평일,상행,100,220,300,240,140,160,160,140,160,140,160,180,200,220,160,160,140,120,100,80
2647,화랑대,06호선,평일,하행,40,100,160,240,300,220,160,140,160,160,140,160,140,200,200,200,180,140,140,140
2647,화랑대,06호선,토요일,상행,80,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,100,120,100,0
2647,화랑대,06호선,토요일,하행,40,100,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,20
2647,화랑대,06호선,휴일/일요일,상행,80,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,100,120,100,0
2647,화랑대,06호선,휴일/일요일,하행,40,100,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,20
2649,신내,06호선,평일,하행,20,80,80,60,60,40,60,40,60,40,60,40,60,60,60,60,60,60,80,40
2649,신내,06호선,토요일,하행,20,80,60,40,60,40,40,60,40,40,60,40,40,60,40,60,40,60,40,0
2649,신내,06호선,휴일/일요일,하행,20,80,60,40,60,40,40,60,40,40,60,40,40,60,40,60,40,60,40,0
2611,응암,06호선,평일,상행,40,160,240,300,200,160,140,160,160,140,160,140,200,200,200,180,140,140,140,80
2611,응암,06호선,평일,하행,40,160,220,300,240,140,160,140,160,140,160,160,180,200,220,160,160,140,120,100
2611,응암,06호선,토요일,상행,40,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,100,20
2611,응암,06호선,토요일,하행,40,160,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,120,100,0
2611,응암,06호선,휴일/일요일,상행,40,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,100,20
2611,응암,06호선,휴일/일요일,하행,40,160,140,140,140,140,140,140,140,160,140,140,140,140,140,140,140,120,100,0
2613,불광,06호선,평일,하행,40,180,220,300,220,160,140,160,140,160,140,160,180,220,200,180,140,140,120,100
2613,불광,06호선,토요일,하행,40,160,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,100,0
2613,불광,06호선,휴일/일요일,하행,40,160,140,140,140,140,140,140,160,140,140,140,140,140,140,140,140,120,100,0
2614,독바위,06호선,평일,하행,40,160,220,300,240,140,160,140,160,140,160,140,200,200,220,160,160,140,120,100
2614,독바위,06호선,토요일,하행,40,160,140,140,140,140,140,140,140,140,140,160,140,140,140,140,140,100,120,0
2614,독바위,06호선,휴일/일요일,하행,40,160,140,140,140,140,140,140,140,140,140,160,140,140,140,140,140,100,120,0
2615,연신내,06호선,평일,하행,60,160,220,300,220,160,140,160,160,140,160,140,200,200,200,180,140,140,140,80
2615,연신내,06호선,토요일,하행,60,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,100,0
2615,연신내,06호선,휴일/일요일,하행,60,140,140,140,160,140,140,140,140,140,140,140,140,160,140,140,140,100,100,0
