STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
3753,까치울,07호선,평일,상행,20,100,220,300,200,120,100,100,100,100,100,100,100,200,200,160,120,80,80,60
3753,까치울,07호선,평일,하행,40,200,320,180,140,100,100,100,100,100,100,120,160,220,160,120,100,80,60,60
3753,까치울,07호선,토요일,상행,20,120,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,100,60,20
3753,까치울,07호선,토요일,하행,60,100,100,80,100,80,100,80,100,100,80,100,80,100,100,80,100,80,80,0
3753,까치울,07호선,휴일/일요일,상행,20,120,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,100,60,20
3753,까치울,07호선,휴일/일요일,하행,60,100,100,80,100,80,100,80,100,100,80,100,80,100,100,80,100,80,80,0
3754,부천종합운동장,07호선,평일,상행,20,100,240,300,180,120,100,100,100,100,100,100,120,180,200,160,120,100,60,80
3754,부천종합운동장,07호선,평일,하행,40,200,300,200,140,80,100,100,100,100,100,120,160,240,160,120,100,80,60,60
3754,부천종합운동장,07호선,토요일,상행,20,120,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,100,60,20
3754,부천종합운동장,07호선,토요일,하행,60,100,100,80,80,100,100,80,100,80,100,100,80,100,80,100,100,80,80,0
3754,부천종합운동장,07호선,휴일/일요일,상행,20,120,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,100,60,20
3754,부천종합운동장,07호선,휴일/일요일,하행,60,100,100,80,80,100,100,80,100,80,100,100,80,100,80,100,100,80,80,0
3755,춘의,07호선,평일,상행,40,100,220,300,180,120,100,100,100,100,100,100,120,200,200,140,120,100,100,40
3755,춘의,07호선,평일,하행,40,200,300,180,160,80,100,100,100,100,100,120,160,240,160,120,100,80,60,60
3755,춘의,07호선,토요일,상행,40,100,100,80,100,100,80,100,80,100,100,80,100,80,100,80,100,100,60,20
3755,춘의,07호선,토요일,하행,40,120,100,80,80,100,100,80,100,80,100,100,80,100,80,100,100,80,80,0
3755,춘의,07호선,휴일/일요일,상행,40,100,100,80,100,100,80,100,80,100,100,80,100,80,100,80,100,100,60,20
3755,춘의,07호선,휴일/일요일,하행,40,120,100,80,80,100,100,80,100,80,100,100,80,100,80,100,100,80,80,0
3756,신중동,07호선,평일,상행,40,100,240,300,160,120,100,100,100,100,100,100,120,200,200,160,100,100,100,40
3756,신중동,07호선,평일,하행,40,180,320,180,140,100,100,100,100,100,100,120,160,220,180,120,100,80,60,60
3756,신중동,07호선,토요일,상행,40,100,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,0
3756,신중동,07호선,토요일,하행,40,100,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,0
3756,신중동,07호선,휴일/일요일,상행,40,100,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,0
3756,신중동,07호선,휴일/일요일,하행,40,100,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,0
3757,부천시청,07호선,평일,상행,40,100,260,280,160,120,100,100,100,100,100,100,120,200,200,160,100,100,100,40
3757,부천시청,07호선,평일,하행,40,180,300,200,140,100,100,100,100,100,100,120,160,220,180,120,100,80,60,60
3757,부천시청,07호선,토요일,상행,40,100,100,100,80,100,100,80,100,80,100,100,80,100,80,100,80,100,80,0
3757,부천시청,07호선,토요일,하행,40,100,100,100,80,100,80,100,80,100,100,80,100,80,100,100,80,100,80,0
3757,부천시청,07호선,휴일/일요일,상행,40,100,100,100,80,100,100,80,100,80,100,100,80,100,80,100,80,100,80,0
3757,부천시청,07호선,휴일/일요일,하행,40,100,100,100,80,100,80,100,80,100,100,80,100,80,100,100,80,100,80,0
3758,상동,07호선,평일,상행,40,100,260,280,160,120,100,100,100,100,100,100,120,220,200,140,100,100,100,40
3758,상동,07호선,평일,하행,40,160,320,200,140,100,100,100,100,100,100,100,160,220,180,120,100,100,60,60
3758,상동,07호선,토요일,상행,40,120,80,100,80,100,100,80,100,80,100,100,80,100,80,100,100,80,80,0
3758,상동,07호선,토요일,하행,40,100,100,80,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,0
3758,상동,07호선,휴일/일요일,상행,40,120,80,100,80,100,100,80,100,80,100,100,80,100,80,100,100,80,80,0
3758,상동,07호선,휴일/일요일,하행,40,100,100,80,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,0
3759,삼산체육관,07호선,평일,상행,40,100,280,280,140,120,100,100,100,100,100,100,140,200,200,140,100,100,100,40
3759,삼산체육관,07호선,평일,하행,40,160,320,180,160,100,100,100,100,100,100,100,160,220,180,120,100,100,60,60
3759,삼산체육관,07호선,토요일,상행,40,120,80,100,100,80,100,80,100,100,80,100,80,100,80,100,100,80,80,0
3759,삼산체육관,07호선,토요일,하행,40,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,80,20
3759,삼산체육관,07호선,휴일/일요일,상행,40,120,80,100,100,80,100,80,100,100,80,100,80,100,80,100,100,80,80,0
3759,삼산체육관,07호선,휴일/일요일,하행,40,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,80,20
3760,굴포천,07호선,평일,상행,40,120,260,280,160,120,100,100,100,100,100,100,120,200,200,140,100,100,100,40
3760,굴포천,07호선,평일,하행,20,180,320,180,160,100,100,100,100,100,100,100,160,220,180,120,100,80,80,60
3760,굴포천,07호선,토요일,상행,60,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,80,0
3760,굴포천,07호선,토요일,하행,20,120,100,80,100,80,100,80,100,100,80,100,80,100,100,80,100,80,80,20
3760,굴포천,07호선,휴일/일요일,상행,60,100,100,80,100,80,100,100,80,100,80,100,100,80,100,80,100,80,80,0
3760,굴포천,07호선,휴일/일요일,하행,20,120,100,80,100,80,100,80,100,100,80,100,80,100,100,80,100,80,80,20
3761,부평구청,07호선,평일,상행,40,120,280,260,160,120,100,100,100,100,100,100,120,200,200,160,100,80,100,40
3761,부평구청,07호선,평일,하행,20,160,320,200,140,100,100,100,100,100,100,100,160,220,200,120,100,80,80,60
