"구분별(1)",구분별(2),구분별(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"구분별(1)",구분별(2),구분별(3),도보,자전거,자전거 + 기타교통수단,오토바이,버스,지하철(철도),버스 + 지하철,택시,승용차,승용차 + 버스,승용차 + 지하철,개인형 이동수단,기타
"서울시",지역소분류,양천구,18.5,0.6,-,0.1,19.6,16.4,16.9,-,27.3,0.3,0.3,-,-
"서울시",지역소분류,강서구,20.5,1.2,-,0.2,18.8,15.2,15.4,0.2,27.3,0.3,0.7,-,0.2
"서울시",지역소분류,구로구,18.5,1.7,-,0.4,29.6,23.4,6.9,-,18.7,-,0.6,-,0.1
"서울시",지역소분류,금천구,16.4,0.8,-,0.5,34.4,12.5,17.1,0.1,17.8,0.1,0.2,0.1,0.1
"서울시",지역소분류,영등포구,7.3,0.8,-,0.0,31.8,21.9,8.7,0.2,23.0,1.7,4.6,-,-
"서울시",지역소분류,동작구,8.7,1.7,-,0.3,27.7,16.0,21.4,-,23.5,0.2,0.4,0.0,-
"서울시",지역소분류,관악구,12.8,0.8,0.4,0.2,34.8,13.9,15.8,-,19.8,0.1,1.3,0.0,0.1
"서울시",지역소분류,서초구,21.2,5.1,-,0.6,27.9,15.2,6.7,0.3,22.4,0.3,0.1,0.1,-
"서울시",지역소분류,강남구,14.2,1.0,0.1,-,14.6,12.5,7.3,0.1,38.3,0.1,11.7,0.0,-
"서울시",지역소분류,송파구,14.3,1.6,-,0.3,22.2,23.9,15.0,0.1,22.1,0.2,0.4,0.0,-
"서울시",지역소분류,강동구,18.2,2.1,0.2,0.5,25.0,17.1,7.7,-,26.2,0.1,2.1,0.8,-
