,USE_MON,LINE_NUM,SUB_STA_NM,FOUR_RIDE_NUM,FOUR_ALIGHT_NUM,FIVE_RIDE_NUM,FIVE_ALIGHT_NUM,SIX_RIDE_NUM,SIX_ALIGHT_NUM,SEVEN_RIDE_NUM,SEVEN_ALIGHT_NUM,EIGHT_RIDE_NUM,EIGHT_ALIGHT_NUM,NINE_RIDE_NUM,NINE_ALIGHT_NUM,TEN_RIDE_NUM,TEN_ALIGHT_NUM,ELEVEN_RIDE_NUM,ELEVEN_ALIGHT_NUM,TWELVE_RIDE_NUM,TWELVE_ALIGHT_NUM,THIRTEEN_RIDE_NUM,THIRTEEN_ALIGHT_NUM,FOURTEEN_RIDE_NUM,FOURTEEN_ALIGHT_NUM,FIFTEEN_RIDE_NUM,FIFTEEN_ALIGHT_NUM,SIXTEEN_RIDE_NUM,SIXTEEN_ALIGHT_NUM,SEVENTEEN_RIDE_NUM,SEVENTEEN_ALIGHT_NUM,EIGHTEEN_RIDE_NUM,EIGHTEEN_ALIGHT_NUM,NINETEEN_RIDE_NUM,NINETEEN_ALIGHT_NUM,TWENTY_RIDE_NUM,TWENTY_ALIGHT_NUM,TWENTY_ONE_RIDE_NUM,TWENTY_ONE_ALIGHT_NUM,TWENTY_TWO_RIDE_NUM,TWENTY_TWO_ALIGHT_NUM,TWENTY_THREE_RIDE_NUM,TWENTY_THREE_ALIGHT_NUM,MIDNIGHT_RIDE_NUM,MIDNIGHT_ALIGHT_NUM,ONE_RIDE_NUM,ONE_ALIGHT_NUM,TWO_RIDE_NUM,TWO_ALIGHT_NUM,THREE_RIDE_NUM,THREE_ALIGHT_NUM
10,202307,2호선,시청,55.0,0.0,889.0,1869.0,2367.0,18454.0,5457.0,71772.0,9070.0,216745.0,12684.0,86265.0,18354.0,30887.0,26307.0,27729.0,25160.0,28201.0,30212.0,29762.0,35501.0,24587.0,42490.0,22784.0,51196.0,21273.0,107108.0,23891.0,169078.0,23892.0,59728.0,12541.0,45992.0,8462.0,42103.0,8874.0,25781.0,8017.0,10321.0,5128.0,1374.0,1655.0,3.0,73.0,0.0,0.0,0.0,0.0
11,202307,2호선,을지로입구,66.0,2.0,2821.0,3161.0,4180.0,28401.0,11124.0,135685.0,18867.0,340744.0,24843.0,162879.0,31808.0,83997.0,42840.0,71609.0,47370.0,65185.0,58988.0,68967.0,67502.0,59876.0,80884.0,58105.0,97771.0,59711.0,174902.0,65498.0,290560.0,66701.0,129569.0,41175.0,119598.0,28285.0,81635.0,25992.0,64539.0,22011.0,25929.0,13159.0,3460.0,5226.0,3.0,770.0,0.0,0.0,0.0,0.0
12,202307,2호선,을지로3가,13.0,2.0,1326.0,1756.0,2758.0,19708.0,6693.0,74585.0,12777.0,179628.0,15870.0,71824.0,21130.0,32420.0,25253.0,27709.0,26545.0,26278.0,29099.0,29598.0,32254.0,26611.0,37298.0,25095.0,46720.0,29060.0,94640.0,34747.0,145201.0,39959.0,56378.0,25490.0,42762.0,15573.0,46153.0,13983.0,39016.0,12516.0,22483.0,8043.0,3635.0,2088.0,1.0,91.0,0.0,0.0,0.0,0.0
13,202307,2호선,을지로4가,7.0,0.0,1098.0,1258.0,1985.0,13944.0,5832.0,36720.0,11160.0,77643.0,12958.0,38540.0,15178.0,24515.0,18429.0,23539.0,19293.0,21434.0,21453.0,20514.0,23547.0,19039.0,25656.0,17598.0,32968.0,17523.0,59597.0,18362.0,68718.0,18669.0,29014.0,12547.0,18150.0,9440.0,15153.0,8664.0,9869.0,8675.0,5125.0,5692.0,897.0,1802.0,0.0,24.0,0.0,0.0,0.0,0.0
14,202307,2호선,동대문역사문화공원(DDP),244.0,3.0,4882.0,1389.0,4244.0,8871.0,7188.0,21861.0,12811.0,50929.0,14826.0,33474.0,16084.0,30899.0,20653.0,29556.0,23405.0,30376.0,23521.0,29771.0,28391.0,30438.0,31441.0,27986.0,37495.0,26293.0,45576.0,28491.0,47654.0,33587.0,29634.0,30817.0,23735.0,23411.0,23373.0,20947.0,20780.0,17320.0,10049.0,10720.0,2042.0,3307.0,0.0,146.0,0.0,0.0,0.0,0.0
15,202307,2호선,신당,23.0,0.0,6155.0,1259.0,11967.0,8944.0,29459.0,16267.0,47799.0,31065.0,28449.0,22343.0,19850.0,19035.0,18806.0,19657.0,22074.0,21514.0,22467.0,21898.0,21544.0,23083.0,22704.0,24745.0,26558.0,29516.0,30713.0,38128.0,33535.0,56487.0,22844.0,35645.0,18437.0,22740.0,17230.0,19903.0,15444.0,19123.0,7954.0,11872.0,1425.0,3443.0,0.0,58.0,0.0,0.0,0.0,0.0
16,202307,2호선,상왕십리,39.0,0.0,6069.0,710.0,13966.0,6510.0,41647.0,13074.0,65379.0,31762.0,35917.0,19005.0,22698.0,13850.0,20215.0,13113.0,21799.0,15650.0,20567.0,16979.0,19294.0,17191.0,20109.0,19787.0,21675.0,23959.0,25831.0,34564.0,27202.0,54530.0,18729.0,36106.0,12097.0,23815.0,10552.0,22226.0,7599.0,21559.0,3081.0,13308.0,471.0,3987.0,2.0,29.0,0.0,0.0,0.0,0.0
17,202307,2호선,왕십리(성동구청),893.0,5.0,7049.0,1131.0,9858.0,7298.0,25669.0,13943.0,44614.0,27181.0,28837.0,18578.0,19141.0,15154.0,19266.0,16223.0,21969.0,18449.0,22262.0,19563.0,21946.0,19762.0,23902.0,21114.0,28864.0,25379.0,33093.0,35193.0,34374.0,55634.0,21928.0,33846.0,21517.0,21516.0,24660.0,19494.0,24692.0,18931.0,13554.0,12725.0,2270.0,5006.0,0.0,100.0,0.0,0.0,0.0,0.0
18,202307,2호선,한양대,5.0,2.0,1008.0,483.0,2518.0,6409.0,5599.0,10801.0,8934.0,40310.0,6317.0,45894.0,6507.0,18301.0,10227.0,12045.0,12637.0,17593.0,15199.0,18269.0,13478.0,12705.0,16617.0,11300.0,23525.0,10303.0,36079.0,10900.0,33583.0,11993.0,15230.0,7535.0,10547.0,5973.0,11566.0,5789.0,8235.0,5629.0,4057.0,3818.0,849.0,1264.0,1.0,16.0,0.0,0.0,0.0,0.0
19,202307,2호선,뚝섬,9.0,0.0,3385.0,2530.0,8300.0,16846.0,18244.0,40628.0,26049.0,136782.0,16997.0,93266.0,14608.0,40730.0,16190.0,33730.0,20452.0,35362.0,24711.0,37302.0,30043.0,32656.0,36636.0,33334.0,46851.0,34798.0,75169.0,40344.0,131399.0,48226.0,65155.0,28099.0,47245.0,15237.0,43002.0,13316.0,28178.0,11951.0,11024.0,7374.0,1704.0,2521.0,1.0,63.0,0.0,0.0,0.0,0.0
